,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
dinov3_vitl16_logreg_cls,"mean=+0.1312,ci95=[+0.0417,+0.2197]","mean=+0.1154,ci95=[+0.0305,+0.2012]","mean=+0.0762,ci95=[-0.0283,+0.1810]","mean=+0.0711,ci95=[-0.0260,+0.1675]","mean=+0.0376,ci95=[-0.0230,+0.0990]","mean=+0.0665,ci95=[+0.0221,+0.1139]","mean=-0.0054,ci95=[-0.0668,+0.0610]","mean=+0.0534,ci95=[+0.0118,+0.0982]","mean=+0.0694,ci95=[+0.0245,+0.1271]","mean=+0.0062,ci95=[-0.0532,+0.0677]",,"mean=-0.0048,ci95=[-0.0646,+0.0586]","mean=-0.0092,ci95=[-0.0715,+0.0525]","mean=+0.0160,ci95=[-0.0513,+0.0912]","mean=+0.0290,ci95=[-0.0431,+0.1026]","mean=+0.0023,ci95=[-0.0691,+0.0766]","mean=+0.0157,ci95=[-0.0383,+0.0689]","mean=+0.0794,ci95=[+0.0157,+0.1536]","mean=+0.0727,ci95=[+0.0083,+0.1387]","mean=+0.0454,ci95=[-0.0158,+0.1099]","mean=+0.0091,ci95=[-0.0600,+0.0747]","mean=-0.0143,ci95=[-0.0846,+0.0575]"
dinov3_vitl16_logreg_gap,"mean=+0.1360,ci95=[+0.0403,+0.2248]","mean=+0.1202,ci95=[+0.0276,+0.2124]","mean=+0.0809,ci95=[-0.0160,+0.1801]","mean=+0.0758,ci95=[-0.0222,+0.1738]","mean=+0.0423,ci95=[-0.0298,+0.1145]","mean=+0.0712,ci95=[-0.0030,+0.1440]","mean=-0.0007,ci95=[-0.0737,+0.0789]","mean=+0.0581,ci95=[-0.0141,+0.1299]","mean=+0.0742,ci95=[+0.0195,+0.1312]","mean=+0.0110,ci95=[-0.0127,+0.0384]","mean=+0.0048,ci95=[-0.0586,+0.0646]",,"mean=-0.0044,ci95=[-0.0909,+0.0778]","mean=+0.0207,ci95=[-0.0542,+0.1036]","mean=+0.0338,ci95=[-0.0378,+0.1049]","mean=+0.0071,ci95=[-0.0673,+0.0866]","mean=+0.0205,ci95=[-0.0599,+0.0981]","mean=+0.0842,ci95=[+0.0096,+0.1543]","mean=+0.0775,ci95=[-0.0051,+0.1601]","mean=+0.0502,ci95=[-0.0261,+0.1282]","mean=+0.0139,ci95=[-0.0719,+0.1051]","mean=-0.0095,ci95=[-0.1015,+0.0883]"
dinov3_vits16_ft-frozen_cls,"mean=+0.1404,ci95=[+0.0336,+0.2506]","mean=+0.1246,ci95=[+0.0290,+0.2158]","mean=+0.0854,ci95=[-0.0415,+0.1994]","mean=+0.0803,ci95=[-0.0301,+0.1817]","mean=+0.0467,ci95=[-0.0266,+0.1207]","mean=+0.0757,ci95=[+0.0221,+0.1379]","mean=+0.0038,ci95=[-0.0606,+0.0631]","mean=+0.0626,ci95=[+0.0067,+0.1300]","mean=+0.0786,ci95=[+0.0021,+0.1659]","mean=+0.0154,ci95=[-0.0705,+0.1056]","mean=+0.0092,ci95=[-0.0525,+0.0715]","mean=+0.0044,ci95=[-0.0778,+0.0909]",,"mean=+0.0252,ci95=[-0.0337,+0.0947]","mean=+0.0382,ci95=[-0.0142,+0.1050]","mean=+0.0115,ci95=[-0.0513,+0.0788]","mean=+0.0249,ci95=[-0.0283,+0.0868]","mean=+0.0886,ci95=[+0.0142,+0.1692]","mean=+0.0819,ci95=[+0.0040,+0.1693]","mean=+0.0546,ci95=[-0.0253,+0.1395]","mean=+0.0183,ci95=[-0.0488,+0.0812]","mean=-0.0051,ci95=[-0.0834,+0.0654]"
dinov3_vits16_ft-frozen_gap,"mean=+0.1152,ci95=[+0.0145,+0.2092]","mean=+0.0995,ci95=[+0.0150,+0.1825]","mean=+0.0602,ci95=[-0.0513,+0.1661]","mean=+0.0551,ci95=[-0.0416,+0.1463]","mean=+0.0216,ci95=[-0.0705,+0.1048]","mean=+0.0505,ci95=[-0.0272,+0.1213]","mean=-0.0214,ci95=[-0.1057,+0.0605]","mean=+0.0374,ci95=[-0.0367,+0.1095]","mean=+0.0534,ci95=[-0.0140,+0.1231]","mean=-0.0097,ci95=[-0.0911,+0.0662]","mean=-0.0160,ci95=[-0.0912,+0.0513]","mean=-0.0207,ci95=[-0.1036,+0.0542]","mean=-0.0252,ci95=[-0.0947,+0.0337]",,"mean=+0.0131,ci95=[-0.0338,+0.0617]","mean=-0.0136,ci95=[-0.0498,+0.0147]","mean=-0.0002,ci95=[-0.0625,+0.0616]","mean=+0.0635,ci95=[-0.0021,+0.1286]","mean=+0.0568,ci95=[-0.0286,+0.1383]","mean=+0.0295,ci95=[-0.0541,+0.1128]","mean=-0.0068,ci95=[-0.0759,+0.0572]","mean=-0.0302,ci95=[-0.0997,+0.0356]"
dinov3_vits16_logreg_cls,"mean=+0.1022,ci95=[+0.0055,+0.1966]","mean=+0.0864,ci95=[+0.0062,+0.1697]","mean=+0.0471,ci95=[-0.0548,+0.1472]","mean=+0.0421,ci95=[-0.0536,+0.1389]","mean=+0.0085,ci95=[-0.0753,+0.0891]","mean=+0.0374,ci95=[-0.0322,+0.1050]","mean=-0.0344,ci95=[-0.1205,+0.0523]","mean=+0.0244,ci95=[-0.0467,+0.0957]","mean=+0.0404,ci95=[-0.0194,+0.1111]","mean=-0.0228,ci95=[-0.0945,+0.0487]","mean=-0.0290,ci95=[-0.1026,+0.0431]","mean=-0.0338,ci95=[-0.1049,+0.0378]","mean=-0.0382,ci95=[-0.1050,+0.0142]","mean=-0.0131,ci95=[-0.0617,+0.0338]",,"mean=-0.0267,ci95=[-0.0778,+0.0247]","mean=-0.0133,ci95=[-0.0872,+0.0588]","mean=+0.0504,ci95=[-0.0105,+0.1215]","mean=+0.0437,ci95=[-0.0414,+0.1251]","mean=+0.0164,ci95=[-0.0686,+0.0981]","mean=-0.0199,ci95=[-0.0950,+0.0522]","mean=-0.0433,ci95=[-0.1221,+0.0298]"
dinov3_vits16_logreg_gap,"mean=+0.1289,ci95=[+0.0264,+0.2223]","mean=+0.1131,ci95=[+0.0307,+0.1940]","mean=+0.0738,ci95=[-0.0383,+0.1811]","mean=+0.0688,ci95=[-0.0251,+0.1573]","mean=+0.0352,ci95=[-0.0532,+0.1171]","mean=+0.0641,ci95=[-0.0157,+0.1402]","mean=-0.0077,ci95=[-0.0916,+0.0723]","mean=+0.0511,ci95=[-0.0291,+0.1292]","mean=+0.0671,ci95=[-0.0020,+0.1410]","mean=+0.0039,ci95=[-0.0760,+0.0820]","mean=-0.0023,ci95=[-0.0766,+0.0691]","mean=-0.0071,ci95=[-0.0866,+0.0673]","mean=-0.0115,ci95=[-0.0788,+0.0513]","mean=+0.0136,ci95=[-0.0147,+0.0498]","mean=+0.0267,ci95=[-0.0247,+0.0778]",,"mean=+0.0134,ci95=[-0.0583,+0.0807]","mean=+0.0771,ci95=[+0.0103,+0.1431]","mean=+0.0704,ci95=[-0.0077,+0.1447]","mean=+0.0431,ci95=[-0.0350,+0.1240]","mean=+0.0068,ci95=[-0.0710,+0.0795]","mean=-0.0166,ci95=[-0.0925,+0.0576]"
sam_vit_base_ft-frozen_gap,"mean=+0.1155,ci95=[+0.0207,+0.2187]","mean=+0.0997,ci95=[+0.0155,+0.1861]","mean=+0.0604,ci95=[-0.0508,+0.1665]","mean=+0.0553,ci95=[-0.0443,+0.1537]","mean=+0.0218,ci95=[-0.0561,+0.0933]","mean=+0.0507,ci95=[+0.0005,+0.1100]","mean=-0.0211,ci95=[-0.0901,+0.0465]","mean=+0.0376,ci95=[-0.0207,+0.0971]","mean=+0.0537,ci95=[-0.0112,+0.1212]","mean=-0.0095,ci95=[-0.0857,+0.0701]","mean=-0.0157,ci95=[-0.0689,+0.0383]","mean=-0.0205,ci95=[-0.0981,+0.0599]","mean=-0.0249,ci95=[-0.0868,+0.0283]","mean=+0.0002,ci95=[-0.0616,+0.0625]","mean=+0.0133,ci95=[-0.0588,+0.0872]","mean=-0.0134,ci95=[-0.0807,+0.0583]",,"mean=+0.0637,ci95=[+0.0019,+0.1366]","mean=+0.0570,ci95=[-0.0073,+0.1207]","mean=+0.0297,ci95=[-0.0295,+0.0936]","mean=-0.0066,ci95=[-0.0613,+0.0418]","mean=-0.0300,ci95=[-0.0916,+0.0234]"
sam_vit_base_logreg_gap,"mean=+0.0518,ci95=[-0.0402,+0.1348]","mean=+0.0360,ci95=[-0.0398,+0.1108]","mean=-0.0033,ci95=[-0.1041,+0.0851]","mean=-0.0084,ci95=[-0.0939,+0.0751]","mean=-0.0419,ci95=[-0.1307,+0.0432]","mean=-0.0130,ci95=[-0.0885,+0.0523]","mean=-0.0848,ci95=[-0.1711,-0.0021]","mean=-0.0261,ci95=[-0.1043,+0.0424]","mean=-0.0100,ci95=[-0.0737,+0.0513]","mean=-0.0732,ci95=[-0.1461,-0.0011]","mean=-0.0794,ci95=[-0.1536,-0.0157]","mean=-0.0842,ci95=[-0.1543,-0.0096]","mean=-0.0886,ci95=[-0.1692,-0.0142]","mean=-0.0635,ci95=[-0.1286,+0.0021]","mean=-0.0504,ci95=[-0.1215,+0.0105]","mean=-0.0771,ci95=[-0.1431,-0.0103]","mean=-0.0637,ci95=[-0.1366,-0.0019]",,"mean=-0.0067,ci95=[-0.0750,+0.0521]","mean=-0.0340,ci95=[-0.1108,+0.0383]","mean=-0.0703,ci95=[-0.1485,-0.0029]","mean=-0.0937,ci95=[-0.1698,-0.0227]"
sam_vit_huge_ft-frozen_gap,"mean=+0.0585,ci95=[-0.0436,+0.1573]","mean=+0.0427,ci95=[-0.0402,+0.1276]","mean=+0.0034,ci95=[-0.1011,+0.1094]","mean=-0.0016,ci95=[-0.0923,+0.0901]","mean=-0.0352,ci95=[-0.1262,+0.0527]","mean=-0.0062,ci95=[-0.0843,+0.0688]","mean=-0.0781,ci95=[-0.1733,+0.0140]","mean=-0.0193,ci95=[-0.0971,+0.0587]","mean=-0.0033,ci95=[-0.0770,+0.0693]","mean=-0.0665,ci95=[-0.1471,+0.0191]","mean=-0.0727,ci95=[-0.1387,-0.0083]","mean=-0.0775,ci95=[-0.1601,+0.0051]","mean=-0.0819,ci95=[-0.1693,-0.0040]","mean=-0.0568,ci95=[-0.1383,+0.0286]","mean=-0.0437,ci95=[-0.1251,+0.0414]","mean=-0.0704,ci95=[-0.1447,+0.0077]","mean=-0.0570,ci95=[-0.1207,+0.0073]","mean=+0.0067,ci95=[-0.0521,+0.0750]",,"mean=-0.0273,ci95=[-0.0719,+0.0074]","mean=-0.0636,ci95=[-0.1385,+0.0065]","mean=-0.0870,ci95=[-0.1657,-0.0085]"
sam_vit_huge_logreg_gap,"mean=+0.0858,ci95=[-0.0199,+0.1859]","mean=+0.0700,ci95=[-0.0135,+0.1602]","mean=+0.0307,ci95=[-0.0755,+0.1377]","mean=+0.0256,ci95=[-0.0661,+0.1209]","mean=-0.0079,ci95=[-0.0838,+0.0679]","mean=+0.0210,ci95=[-0.0484,+0.0922]","mean=-0.0508,ci95=[-0.1329,+0.0268]","mean=+0.0079,ci95=[-0.0627,+0.0863]","mean=+0.0240,ci95=[-0.0437,+0.0941]","mean=-0.0392,ci95=[-0.1152,+0.0364]","mean=-0.0454,ci95=[-0.1099,+0.0158]","mean=-0.0502,ci95=[-0.1282,+0.0261]","mean=-0.0546,ci95=[-0.1395,+0.0253]","mean=-0.0295,ci95=[-0.1128,+0.0541]","mean=-0.0164,ci95=[-0.0981,+0.0686]","mean=-0.0431,ci95=[-0.1240,+0.0350]","mean=-0.0297,ci95=[-0.0936,+0.0295]","mean=+0.0340,ci95=[-0.0383,+0.1108]","mean=+0.0273,ci95=[-0.0074,+0.0719]",,"mean=-0.0363,ci95=[-0.1077,+0.0311]","mean=-0.0597,ci95=[-0.1398,+0.0151]"
sam_vit_large_ft-frozen_gap,"mean=+0.1221,ci95=[+0.0187,+0.2287]","mean=+0.1063,ci95=[+0.0130,+0.1986]","mean=+0.0670,ci95=[-0.0447,+0.1867]","mean=+0.0619,ci95=[-0.0407,+0.1634]","mean=+0.0284,ci95=[-0.0625,+0.1175]","mean=+0.0573,ci95=[-0.0107,+0.1296]","mean=-0.0145,ci95=[-0.0960,+0.0660]","mean=+0.0442,ci95=[-0.0273,+0.1157]","mean=+0.0603,ci95=[-0.0148,+0.1339]","mean=-0.0029,ci95=[-0.0940,+0.0847]","mean=-0.0091,ci95=[-0.0747,+0.0600]","mean=-0.0139,ci95=[-0.1051,+0.0719]","mean=-0.0183,ci95=[-0.0812,+0.0488]","mean=+0.0068,ci95=[-0.0572,+0.0759]","mean=+0.0199,ci95=[-0.0522,+0.0950]","mean=-0.0068,ci95=[-0.0795,+0.0710]","mean=+0.0066,ci95=[-0.0418,+0.0613]","mean=+0.0703,ci95=[+0.0029,+0.1485]","mean=+0.0636,ci95=[-0.0065,+0.1385]","mean=+0.0363,ci95=[-0.0311,+0.1077]",,"mean=-0.0234,ci95=[-0.0609,+0.0100]"
sam_vit_large_logreg_gap,"mean=+0.1455,ci95=[+0.0324,+0.2534]","mean=+0.1297,ci95=[+0.0360,+0.2178]","mean=+0.0904,ci95=[-0.0316,+0.2040]","mean=+0.0854,ci95=[-0.0190,+0.1857]","mean=+0.0518,ci95=[-0.0391,+0.1410]","mean=+0.0807,ci95=[+0.0055,+0.1644]","mean=+0.0089,ci95=[-0.0723,+0.0959]","mean=+0.0677,ci95=[-0.0117,+0.1496]","mean=+0.0837,ci95=[+0.0016,+0.1576]","mean=+0.0205,ci95=[-0.0765,+0.1118]","mean=+0.0143,ci95=[-0.0575,+0.0846]","mean=+0.0095,ci95=[-0.0883,+0.1015]","mean=+0.0051,ci95=[-0.0654,+0.0834]","mean=+0.0302,ci95=[-0.0356,+0.0997]","mean=+0.0433,ci95=[-0.0298,+0.1221]","mean=+0.0166,ci95=[-0.0576,+0.0925]","mean=+0.0300,ci95=[-0.0234,+0.0916]","mean=+0.0937,ci95=[+0.0227,+0.1698]","mean=+0.0870,ci95=[+0.0085,+0.1657]","mean=+0.0597,ci95=[-0.0151,+0.1398]","mean=+0.0234,ci95=[-0.0100,+0.0609]",
