,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_logreg_cls,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
dinov3_vitl16_ft-frozen_gap,"mean=+0.0301,ci95=[-0.1058,+0.1572]","mean=-0.0330,ci95=[-0.1195,+0.0532]","mean=+0.1472,ci95=[+0.0576,+0.2446]","mean=+0.0203,ci95=[-0.0756,+0.1228]","mean=+0.1113,ci95=[+0.0232,+0.2074]","mean=-0.0054,ci95=[-0.0983,+0.0891]","mean=+0.0278,ci95=[-0.0515,+0.1186]","mean=-0.0239,ci95=[-0.1069,+0.0693]","mean=+0.0931,ci95=[-0.0058,+0.1840]","mean=-0.0270,ci95=[-0.1205,+0.0751]",,"mean=+0.0489,ci95=[-0.0426,+0.1380]","mean=+0.1623,ci95=[+0.0741,+0.2519]","mean=+0.0829,ci95=[+0.0018,+0.1752]","mean=-0.0435,ci95=[-0.1588,+0.0733]","mean=+0.0592,ci95=[-0.0303,+0.1506]","mean=+0.1095,ci95=[+0.0175,+0.2066]","mean=+0.0647,ci95=[-0.0144,+0.1585]","mean=+0.1388,ci95=[+0.0450,+0.2369]","mean=+0.0354,ci95=[-0.0633,+0.1371]","mean=+0.0432,ci95=[-0.0537,+0.1456]","mean=-0.0016,ci95=[-0.0905,+0.0932]","mean=+0.0625,ci95=[-0.0295,+0.1566]"
dinov3_vitl16_logreg_cls,"mean=-0.0188,ci95=[-0.1275,+0.0796]","mean=-0.0820,ci95=[-0.1549,-0.0067]","mean=+0.0983,ci95=[+0.0308,+0.1573]","mean=-0.0286,ci95=[-0.1027,+0.0406]","mean=+0.0624,ci95=[+0.0047,+0.1206]","mean=-0.0543,ci95=[-0.1399,+0.0308]","mean=-0.0211,ci95=[-0.1135,+0.0695]","mean=-0.0728,ci95=[-0.1682,+0.0081]","mean=+0.0442,ci95=[-0.0038,+0.0925]","mean=-0.0759,ci95=[-0.1561,+0.0020]","mean=-0.0489,ci95=[-0.1380,+0.0426]",,"mean=+0.1134,ci95=[+0.0578,+0.1674]","mean=+0.0340,ci95=[-0.0407,+0.1121]","mean=-0.0924,ci95=[-0.1898,+0.0117]","mean=+0.0102,ci95=[-0.0533,+0.0729]","mean=+0.0605,ci95=[+0.0058,+0.1175]","mean=+0.0158,ci95=[-0.0478,+0.0841]","mean=+0.0899,ci95=[+0.0292,+0.1468]","mean=-0.0135,ci95=[-0.0726,+0.0457]","mean=-0.0058,ci95=[-0.0629,+0.0484]","mean=-0.0505,ci95=[-0.1385,+0.0327]","mean=+0.0136,ci95=[-0.0437,+0.0706]"
dinov3_vitl16_logreg_gap,"mean=-0.1322,ci95=[-0.2323,-0.0432]","mean=-0.1953,ci95=[-0.2683,-0.1173]","mean=-0.0151,ci95=[-0.0670,+0.0405]","mean=-0.1420,ci95=[-0.2111,-0.0746]","mean=-0.0510,ci95=[-0.1021,-0.0031]","mean=-0.1676,ci95=[-0.2607,-0.0739]","mean=-0.1345,ci95=[-0.2344,-0.0371]","mean=-0.1862,ci95=[-0.2896,-0.0894]","mean=-0.0692,ci95=[-0.1247,-0.0120]","mean=-0.1893,ci95=[-0.2783,-0.0933]","mean=-0.1623,ci95=[-0.2519,-0.0741]","mean=-0.1134,ci95=[-0.1674,-0.0578]",,"mean=-0.0794,ci95=[-0.1510,-0.0022]","mean=-0.2058,ci95=[-0.3032,-0.1088]","mean=-0.1031,ci95=[-0.1662,-0.0371]","mean=-0.0528,ci95=[-0.1079,+0.0046]","mean=-0.0975,ci95=[-0.1665,-0.0352]","mean=-0.0235,ci95=[-0.0750,+0.0328]","mean=-0.1269,ci95=[-0.1978,-0.0583]","mean=-0.1191,ci95=[-0.1798,-0.0518]","mean=-0.1639,ci95=[-0.2557,-0.0722]","mean=-0.0998,ci95=[-0.1584,-0.0424]"
dinov3_vits16_ft-frozen_cls,"mean=-0.0528,ci95=[-0.1741,+0.0613]","mean=-0.1159,ci95=[-0.1987,-0.0404]","mean=+0.0643,ci95=[-0.0115,+0.1381]","mean=-0.0626,ci95=[-0.1379,+0.0176]","mean=+0.0284,ci95=[-0.0447,+0.1009]","mean=-0.0883,ci95=[-0.1777,-0.0039]","mean=-0.0551,ci95=[-0.1346,+0.0146]","mean=-0.1068,ci95=[-0.1946,-0.0316]","mean=+0.0102,ci95=[-0.0521,+0.0759]","mean=-0.1099,ci95=[-0.1948,-0.0279]","mean=-0.0829,ci95=[-0.1752,-0.0018]","mean=-0.0340,ci95=[-0.1121,+0.0407]","mean=+0.0794,ci95=[+0.0022,+0.1510]",,"mean=-0.1264,ci95=[-0.2174,-0.0436]","mean=-0.0237,ci95=[-0.0873,+0.0428]","mean=+0.0266,ci95=[-0.0284,+0.0911]","mean=-0.0182,ci95=[-0.0766,+0.0428]","mean=+0.0559,ci95=[-0.0187,+0.1268]","mean=-0.0475,ci95=[-0.1189,+0.0289]","mean=-0.0397,ci95=[-0.1110,+0.0305]","mean=-0.0845,ci95=[-0.1640,-0.0142]","mean=-0.0204,ci95=[-0.0873,+0.0512]"
dinov3_vits16_ft-frozen_gap,"mean=+0.0736,ci95=[-0.0596,+0.2073]","mean=+0.0105,ci95=[-0.0869,+0.1196]","mean=+0.1907,ci95=[+0.0951,+0.2840]","mean=+0.0638,ci95=[-0.0446,+0.1699]","mean=+0.1548,ci95=[+0.0580,+0.2485]","mean=+0.0382,ci95=[-0.0659,+0.1503]","mean=+0.0713,ci95=[-0.0166,+0.1764]","mean=+0.0196,ci95=[-0.0690,+0.1252]","mean=+0.1366,ci95=[+0.0402,+0.2389]","mean=+0.0165,ci95=[-0.0842,+0.1263]","mean=+0.0435,ci95=[-0.0733,+0.1588]","mean=+0.0924,ci95=[-0.0117,+0.1898]","mean=+0.2058,ci95=[+0.1088,+0.3032]","mean=+0.1264,ci95=[+0.0436,+0.2174]",,"mean=+0.1027,ci95=[+0.0017,+0.1961]","mean=+0.1530,ci95=[+0.0571,+0.2547]","mean=+0.1083,ci95=[+0.0185,+0.2102]","mean=+0.1823,ci95=[+0.0878,+0.2706]","mean=+0.0790,ci95=[-0.0152,+0.1751]","mean=+0.0867,ci95=[-0.0093,+0.1810]","mean=+0.0419,ci95=[-0.0416,+0.1360]","mean=+0.1061,ci95=[+0.0105,+0.2049]"
dinov3_vits16_logreg_cls,"mean=-0.0291,ci95=[-0.1424,+0.0758]","mean=-0.0922,ci95=[-0.1792,-0.0107]","mean=+0.0881,ci95=[+0.0237,+0.1515]","mean=-0.0389,ci95=[-0.1019,+0.0277]","mean=+0.0522,ci95=[-0.0046,+0.1119]","mean=-0.0645,ci95=[-0.1572,+0.0255]","mean=-0.0314,ci95=[-0.1361,+0.0689]","mean=-0.0831,ci95=[-0.1891,+0.0105]","mean=+0.0340,ci95=[-0.0245,+0.0940]","mean=-0.0862,ci95=[-0.1841,+0.0089]","mean=-0.0592,ci95=[-0.1506,+0.0303]","mean=-0.0102,ci95=[-0.0729,+0.0533]","mean=+0.1031,ci95=[+0.0371,+0.1662]","mean=+0.0237,ci95=[-0.0428,+0.0873]","mean=-0.1027,ci95=[-0.1961,-0.0017]",,"mean=+0.0503,ci95=[+0.0048,+0.0962]","mean=+0.0056,ci95=[-0.0731,+0.0803]","mean=+0.0796,ci95=[+0.0230,+0.1320]","mean=-0.0237,ci95=[-0.0925,+0.0402]","mean=-0.0160,ci95=[-0.0806,+0.0454]","mean=-0.0608,ci95=[-0.1547,+0.0233]","mean=+0.0034,ci95=[-0.0556,+0.0628]"
dinov3_vits16_logreg_gap,"mean=-0.0794,ci95=[-0.1947,+0.0184]","mean=-0.1425,ci95=[-0.2225,-0.0667]","mean=+0.0378,ci95=[-0.0208,+0.0937]","mean=-0.0892,ci95=[-0.1485,-0.0310]","mean=+0.0019,ci95=[-0.0421,+0.0485]","mean=-0.1148,ci95=[-0.2144,-0.0233]","mean=-0.0817,ci95=[-0.1828,+0.0081]","mean=-0.1334,ci95=[-0.2454,-0.0381]","mean=-0.0164,ci95=[-0.0611,+0.0261]","mean=-0.1365,ci95=[-0.2425,-0.0436]","mean=-0.1095,ci95=[-0.2066,-0.0175]","mean=-0.0605,ci95=[-0.1175,-0.0058]","mean=+0.0528,ci95=[-0.0046,+0.1079]","mean=-0.0266,ci95=[-0.0911,+0.0284]","mean=-0.1530,ci95=[-0.2547,-0.0571]","mean=-0.0503,ci95=[-0.0962,-0.0048]",,"mean=-0.0447,ci95=[-0.1088,+0.0184]","mean=+0.0293,ci95=[-0.0206,+0.0762]","mean=-0.0740,ci95=[-0.1333,-0.0131]","mean=-0.0663,ci95=[-0.1207,-0.0125]","mean=-0.1111,ci95=[-0.2053,-0.0229]","mean=-0.0469,ci95=[-0.1023,+0.0018]"
sam_vit_base_ft-frozen_gap,"mean=-0.0346,ci95=[-0.1443,+0.0651]","mean=-0.0978,ci95=[-0.1742,-0.0223]","mean=+0.0825,ci95=[+0.0176,+0.1540]","mean=-0.0444,ci95=[-0.1156,+0.0283]","mean=+0.0466,ci95=[-0.0164,+0.1097]","mean=-0.0701,ci95=[-0.1597,+0.0138]","mean=-0.0369,ci95=[-0.1238,+0.0434]","mean=-0.0886,ci95=[-0.1780,-0.0082]","mean=+0.0284,ci95=[-0.0384,+0.0940]","mean=-0.0917,ci95=[-0.1853,-0.0074]","mean=-0.0647,ci95=[-0.1585,+0.0144]","mean=-0.0158,ci95=[-0.0841,+0.0478]","mean=+0.0975,ci95=[+0.0352,+0.1665]","mean=+0.0182,ci95=[-0.0428,+0.0766]","mean=-0.1083,ci95=[-0.2102,-0.0185]","mean=-0.0056,ci95=[-0.0803,+0.0731]","mean=+0.0447,ci95=[-0.0184,+0.1088]",,"mean=+0.0740,ci95=[+0.0080,+0.1414]","mean=-0.0293,ci95=[-0.0982,+0.0419]","mean=-0.0216,ci95=[-0.0937,+0.0502]","mean=-0.0664,ci95=[-0.1396,+0.0026]","mean=-0.0022,ci95=[-0.0716,+0.0670]"
sam_vit_base_logreg_gap,"mean=-0.1087,ci95=[-0.2113,-0.0194]","mean=-0.1718,ci95=[-0.2419,-0.1021]","mean=+0.0084,ci95=[-0.0336,+0.0526]","mean=-0.1185,ci95=[-0.1738,-0.0599]","mean=-0.0275,ci95=[-0.0843,+0.0219]","mean=-0.1441,ci95=[-0.2346,-0.0499]","mean=-0.1110,ci95=[-0.2133,-0.0177]","mean=-0.1627,ci95=[-0.2665,-0.0685]","mean=-0.0457,ci95=[-0.0968,+0.0039]","mean=-0.1658,ci95=[-0.2561,-0.0700]","mean=-0.1388,ci95=[-0.2369,-0.0450]","mean=-0.0899,ci95=[-0.1468,-0.0292]","mean=+0.0235,ci95=[-0.0328,+0.0750]","mean=-0.0559,ci95=[-0.1268,+0.0187]","mean=-0.1823,ci95=[-0.2706,-0.0878]","mean=-0.0796,ci95=[-0.1320,-0.0230]","mean=-0.0293,ci95=[-0.0762,+0.0206]","mean=-0.0740,ci95=[-0.1414,-0.0080]",,"mean=-0.1033,ci95=[-0.1610,-0.0453]","mean=-0.0956,ci95=[-0.1470,-0.0409]","mean=-0.1404,ci95=[-0.2347,-0.0584]","mean=-0.0762,ci95=[-0.1251,-0.0262]"
sam_vit_huge_ft-frozen_gap,"mean=-0.0053,ci95=[-0.1172,+0.0962]","mean=-0.0685,ci95=[-0.1502,+0.0077]","mean=+0.1118,ci95=[+0.0466,+0.1700]","mean=-0.0151,ci95=[-0.0905,+0.0601]","mean=+0.0759,ci95=[+0.0139,+0.1384]","mean=-0.0408,ci95=[-0.1318,+0.0505]","mean=-0.0076,ci95=[-0.1089,+0.0891]","mean=-0.0593,ci95=[-0.1683,+0.0311]","mean=+0.0577,ci95=[+0.0041,+0.1125]","mean=-0.0624,ci95=[-0.1565,+0.0271]","mean=-0.0354,ci95=[-0.1371,+0.0633]","mean=+0.0135,ci95=[-0.0457,+0.0726]","mean=+0.1269,ci95=[+0.0583,+0.1978]","mean=+0.0475,ci95=[-0.0289,+0.1189]","mean=-0.0790,ci95=[-0.1751,+0.0152]","mean=+0.0237,ci95=[-0.0402,+0.0925]","mean=+0.0740,ci95=[+0.0131,+0.1333]","mean=+0.0293,ci95=[-0.0419,+0.0982]","mean=+0.1033,ci95=[+0.0453,+0.1610]",,"mean=+0.0077,ci95=[-0.0379,+0.0532]","mean=-0.0371,ci95=[-0.1249,+0.0363]","mean=+0.0271,ci95=[-0.0316,+0.0851]"
sam_vit_huge_logreg_gap,"mean=-0.0131,ci95=[-0.1290,+0.0955]","mean=-0.0762,ci95=[-0.1525,+0.0053]","mean=+0.1041,ci95=[+0.0404,+0.1611]","mean=-0.0229,ci95=[-0.0951,+0.0467]","mean=+0.0682,ci95=[+0.0132,+0.1232]","mean=-0.0485,ci95=[-0.1419,+0.0446]","mean=-0.0154,ci95=[-0.1175,+0.0775]","mean=-0.0671,ci95=[-0.1698,+0.0238]","mean=+0.0500,ci95=[+0.0051,+0.0980]","mean=-0.0702,ci95=[-0.1686,+0.0212]","mean=-0.0432,ci95=[-0.1456,+0.0537]","mean=+0.0058,ci95=[-0.0484,+0.0629]","mean=+0.1191,ci95=[+0.0518,+0.1798]","mean=+0.0397,ci95=[-0.0305,+0.1110]","mean=-0.0867,ci95=[-0.1810,+0.0093]","mean=+0.0160,ci95=[-0.0454,+0.0806]","mean=+0.0663,ci95=[+0.0125,+0.1207]","mean=+0.0216,ci95=[-0.0502,+0.0937]","mean=+0.0956,ci95=[+0.0409,+0.1470]","mean=-0.0077,ci95=[-0.0532,+0.0379]",,"mean=-0.0448,ci95=[-0.1301,+0.0290]","mean=+0.0194,ci95=[-0.0158,+0.0588]"
