,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_logreg_cls,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
dinov3_vits16_ft-frozen_cls,0.404,0.008,0.106,0.1,0.43,0.042,0.144,0.01,0.78,0.016,0.048,0.372,0.048,1.0,0.004,0.52,0.402,0.562,0.114,0.208,0.282,0.018,0.598
dinov3_vits16_ft-frozen_gap,0.292,0.848,0.001,0.24,0.001,0.528,0.118,0.738,0.01,0.81,0.452,0.076,0.001,0.004,1.0,0.05,0.002,0.016,0.001,0.114,0.076,0.366,0.03
dinov3_vits16_logreg_cls,0.624,0.028,0.012,0.212,0.07,0.16,0.576,0.096,0.28,0.092,0.198,0.732,0.001,0.52,0.05,1.0,0.024,0.858,0.004,0.462,0.594,0.176,0.876
dinov3_vits16_logreg_gap,0.136,0.001,0.19,0.001,0.924,0.014,0.076,0.004,0.492,0.002,0.024,0.038,0.08,0.402,0.002,0.024,1.0,0.168,0.236,0.018,0.016,0.014,0.074
sam_vit_base_ft-frozen_gap,0.558,0.012,0.014,0.24,0.144,0.106,0.356,0.034,0.392,0.034,0.118,0.664,0.004,0.562,0.016,0.858,0.168,1.0,0.024,0.394,0.554,0.064,0.958
sam_vit_base_logreg_gap,0.018,0.001,0.744,0.001,0.316,0.004,0.016,0.002,0.078,0.001,0.006,0.002,0.382,0.114,0.001,0.004,0.236,0.024,1.0,0.001,0.001,0.001,0.001
sam_vit_huge_ft-frozen_gap,0.96,0.074,0.001,0.664,0.018,0.378,0.926,0.28,0.036,0.182,0.526,0.656,0.001,0.208,0.114,0.462,0.018,0.394,0.001,1.0,0.744,0.37,0.356
sam_vit_huge_logreg_gap,0.834,0.068,0.001,0.54,0.016,0.308,0.806,0.196,0.034,0.15,0.398,0.848,0.001,0.282,0.076,0.594,0.016,0.554,0.001,0.744,1.0,0.276,0.276
sam_vit_large_ft-frozen_gap,0.648,0.528,0.001,0.688,0.004,0.958,0.39,0.48,0.02,0.584,0.948,0.25,0.001,0.018,0.366,0.176,0.014,0.064,0.001,0.37,0.276,1.0,0.126
sam_vit_large_logreg_gap,0.578,0.024,0.006,0.25,0.092,0.124,0.538,0.08,0.268,0.062,0.192,0.614,0.001,0.598,0.03,0.876,0.074,0.958,0.001,0.356,0.276,0.126,1.0
