,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_ft-full_cls,cinema_pretrained_ft-full_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_ft-frozen_cls,dinov3_vit7b16_ft-frozen_gap,dinov3_vit7b16_logreg_cls,dinov3_vit7b16_logreg_gap,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_ft-full_cls,dinov3_vitb16_ft-full_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_ft-full_cls,dinov3_vits16_ft-full_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_ft-full_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
dinov3_vitb16_ft-full_gap,0.024,0.014,0.002,0.046,0.02,0.016,0.056,0.1,0.296,0.002,0.056,0.002,0.398,1.0,0.056,0.004,0.596,0.046,0.288,0.262,0.226,0.47,0.168,0.012,0.284,0.444,0.034,0.512,0.108,0.128,0.172,0.244,0.6
dinov3_vitb16_logreg_cls,0.416,0.34,0.322,0.001,0.376,0.43,0.946,0.786,0.452,0.49,1.0,0.344,0.012,0.056,1.0,0.408,0.122,0.898,0.41,0.442,0.554,0.252,0.604,0.001,0.396,0.264,0.846,0.264,0.904,0.774,0.67,0.586,0.236
dinov3_vitb16_logreg_gap,0.8,0.658,0.576,0.001,0.756,0.758,0.626,0.354,0.156,0.836,0.408,0.722,0.002,0.004,0.408,1.0,0.03,0.642,0.186,0.142,0.266,0.096,0.282,0.001,0.168,0.102,0.726,0.092,0.444,0.37,0.3,0.25,0.038
dinov3_vitl16_ft-frozen_cls,0.044,0.022,0.04,0.036,0.054,0.046,0.136,0.336,0.614,0.018,0.122,0.022,0.188,0.596,0.122,0.03,1.0,0.018,0.356,0.288,0.424,0.74,0.434,0.004,0.534,0.734,0.18,0.954,0.278,0.3,0.372,0.492,0.986
dinov3_vitl16_ft-frozen_gap,0.562,0.4,0.39,0.001,0.52,0.514,0.94,0.604,0.332,0.428,0.898,0.396,0.028,0.046,0.898,0.642,0.018,1.0,0.246,0.016,0.542,0.238,0.552,0.001,0.368,0.268,0.94,0.282,0.808,0.656,0.544,0.452,0.12
dinov3_vitl16_logreg_cls,0.222,0.154,0.174,0.01,0.218,0.192,0.358,0.734,0.864,0.106,0.41,0.112,0.068,0.288,0.41,0.186,0.356,0.246,1.0,0.988,0.894,0.73,0.884,0.002,0.966,0.75,0.386,0.712,0.566,0.694,0.818,0.944,0.498
dinov3_vitl16_logreg_gap,0.212,0.152,0.138,0.004,0.196,0.204,0.372,0.68,0.898,0.064,0.442,0.094,0.096,0.262,0.442,0.142,0.288,0.016,0.988,1.0,0.908,0.74,0.912,0.002,0.93,0.744,0.4,0.636,0.574,0.642,0.78,0.912,0.506
dinov3_vits16_ft-frozen_cls,0.162,0.148,0.132,0.002,0.184,0.174,0.548,0.792,0.786,0.2,0.554,0.164,0.052,0.226,0.554,0.266,0.424,0.542,0.894,0.908,1.0,0.516,0.994,0.001,0.64,0.486,0.466,0.538,0.66,0.796,0.882,0.966,0.416
dinov3_vits16_ft-frozen_gap,0.044,0.052,0.064,0.012,0.052,0.078,0.288,0.486,0.802,0.116,0.252,0.04,0.112,0.47,0.252,0.096,0.74,0.238,0.73,0.74,0.516,1.0,0.632,0.008,0.648,1.0,0.192,0.904,0.292,0.452,0.558,0.582,0.738
dinov3_vits16_ft-full_cls,0.23,0.122,0.082,0.001,0.2,0.158,0.646,0.844,0.778,0.194,0.604,0.176,0.05,0.168,0.604,0.282,0.434,0.552,0.884,0.912,0.994,0.632,1.0,0.001,0.844,0.636,0.476,0.524,0.706,0.84,0.946,0.97,0.426
dinov3_vits16_ft-full_gap,0.001,0.001,0.001,0.408,0.001,0.001,0.002,0.002,0.004,0.001,0.001,0.001,0.074,0.012,0.001,0.001,0.004,0.001,0.002,0.002,0.001,0.008,0.001,1.0,0.002,0.002,0.001,0.008,0.001,0.001,0.001,0.001,0.001
dinov3_vits16_logreg_cls,0.098,0.098,0.1,0.002,0.136,0.136,0.39,0.636,0.976,0.12,0.396,0.098,0.07,0.284,0.396,0.168,0.534,0.368,0.966,0.93,0.64,0.648,0.844,0.002,1.0,0.62,0.332,0.702,0.496,0.634,0.752,0.828,0.528
dinov3_vits16_logreg_gap,0.04,0.03,0.066,0.012,0.042,0.062,0.318,0.53,0.8,0.114,0.264,0.034,0.132,0.444,0.264,0.102,0.734,0.268,0.75,0.744,0.486,1.0,0.636,0.002,0.62,1.0,0.194,0.864,0.294,0.472,0.576,0.598,0.712
sam_vit_base_ft-frozen_gap,0.59,0.458,0.416,0.001,0.558,0.53,0.904,0.586,0.306,0.564,0.846,0.496,0.012,0.034,0.846,0.726,0.18,0.94,0.386,0.4,0.466,0.192,0.476,0.001,0.332,0.194,1.0,0.096,0.582,0.596,0.482,0.352,0.082
sam_vit_base_ft-full_gap,0.036,0.04,0.026,0.016,0.03,0.058,0.264,0.378,0.71,0.054,0.264,0.064,0.166,0.512,0.264,0.092,0.954,0.282,0.712,0.636,0.538,0.904,0.524,0.008,0.702,0.864,0.096,1.0,0.294,0.426,0.524,0.54,0.88
sam_vit_base_logreg_gap,0.41,0.278,0.23,0.001,0.392,0.372,0.866,0.838,0.448,0.362,0.904,0.282,0.014,0.108,0.904,0.444,0.278,0.808,0.566,0.574,0.66,0.292,0.706,0.001,0.496,0.294,0.582,0.294,1.0,0.87,0.716,0.504,0.086
sam_vit_huge_ft-frozen_gap,0.324,0.254,0.27,0.001,0.34,0.326,0.71,0.944,0.558,0.296,0.774,0.24,0.01,0.128,0.774,0.37,0.3,0.656,0.694,0.642,0.796,0.452,0.84,0.001,0.634,0.472,0.596,0.426,0.87,1.0,0.72,0.68,0.11
sam_vit_huge_logreg_gap,0.268,0.192,0.188,0.001,0.266,0.258,0.606,0.878,0.726,0.208,0.67,0.172,0.016,0.172,0.67,0.3,0.372,0.544,0.818,0.78,0.882,0.558,0.946,0.001,0.752,0.576,0.482,0.524,0.716,0.72,1.0,0.832,0.188
sam_vit_large_ft-frozen_gap,0.222,0.192,0.15,0.004,0.236,0.246,0.546,0.78,0.804,0.196,0.586,0.098,0.052,0.244,0.586,0.25,0.492,0.452,0.944,0.912,0.966,0.582,0.97,0.001,0.828,0.598,0.352,0.54,0.504,0.68,0.832,1.0,0.108
sam_vit_large_logreg_gap,0.04,0.034,0.022,0.012,0.048,0.046,0.196,0.264,0.552,0.034,0.236,0.004,0.198,0.6,0.236,0.038,0.986,0.12,0.498,0.506,0.416,0.738,0.426,0.001,0.528,0.712,0.082,0.88,0.086,0.11,0.188,0.108,1.0
