,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_ft-full_cls,cinema_pretrained_ft-full_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_ft-frozen_cls,dinov3_vit7b16_ft-frozen_gap,dinov3_vit7b16_logreg_cls,dinov3_vit7b16_logreg_gap,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_ft-full_cls,dinov3_vitb16_ft-full_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_ft-full_cls,dinov3_vits16_ft-full_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_ft-full_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
dinov3_vitb16_ft-frozen_cls,"mean=-0.1208,ci95=[-0.2708,+0.0151]","mean=-0.1829,ci95=[-0.3420,-0.0211]","mean=-0.1974,ci95=[-0.3765,-0.0052]","mean=-0.1145,ci95=[-0.3082,+0.0916]","mean=+0.0833,ci95=[-0.0685,+0.2493]","mean=-0.1829,ci95=[-0.3420,-0.0211]","mean=-0.0194,ci95=[-0.2565,+0.2209]","mean=-0.0055,ci95=[-0.2709,+0.2708]","mean=+0.0657,ci95=[-0.1796,+0.3084]","mean=-0.1690,ci95=[-0.3991,+0.0831]",,"mean=-0.0220,ci95=[-0.2353,+0.2060]","mean=+0.1555,ci95=[-0.0231,+0.3284]","mean=+0.0861,ci95=[-0.1631,+0.3202]","mean=+0.0569,ci95=[+0.0000,+0.1827]","mean=-0.0549,ci95=[-0.2239,+0.1263]","mean=-0.0362,ci95=[-0.2259,+0.1486]","mean=-0.0169,ci95=[-0.2459,+0.2060]","mean=+0.0105,ci95=[-0.2107,+0.2355]","mean=+0.1621,ci95=[-0.0179,+0.3315]","mean=-0.0357,ci95=[-0.2580,+0.2096]","mean=-0.0353,ci95=[-0.2144,+0.1408]","mean=+0.0098,ci95=[-0.2121,+0.2351]","mean=+0.1555,ci95=[-0.0231,+0.3284]","mean=+0.0140,ci95=[-0.1970,+0.2403]","mean=-0.0182,ci95=[-0.1970,+0.1599]","mean=-0.1482,ci95=[-0.3811,+0.1123]","mean=-0.0517,ci95=[-0.2653,+0.2008]","mean=-0.0980,ci95=[-0.3355,+0.1531]","mean=-0.0568,ci95=[-0.2842,+0.1859]","mean=-0.0199,ci95=[-0.2469,+0.2174]","mean=+0.0213,ci95=[-0.2493,+0.2810]","mean=+0.0896,ci95=[-0.1561,+0.3118]"
dinov3_vitb16_ft-frozen_gap,"mean=-0.0988,ci95=[-0.2525,+0.0404]","mean=-0.1609,ci95=[-0.3693,+0.0526]","mean=-0.1754,ci95=[-0.3697,+0.0110]","mean=-0.0925,ci95=[-0.2957,+0.1179]","mean=+0.1052,ci95=[-0.0455,+0.2654]","mean=-0.1609,ci95=[-0.3693,+0.0526]","mean=+0.0026,ci95=[-0.1921,+0.2126]","mean=+0.0165,ci95=[-0.2360,+0.2484]","mean=+0.0877,ci95=[-0.1274,+0.2930]","mean=-0.1471,ci95=[-0.3272,-0.0000]","mean=+0.0220,ci95=[-0.2060,+0.2353]",,"mean=+0.1775,ci95=[-0.0183,+0.3414]","mean=+0.1081,ci95=[-0.0394,+0.2873]","mean=+0.0789,ci95=[-0.1180,+0.2720]","mean=-0.0329,ci95=[-0.1540,+0.0523]","mean=-0.0142,ci95=[-0.2673,+0.2120]","mean=+0.0051,ci95=[-0.2427,+0.2223]","mean=+0.0325,ci95=[-0.1981,+0.2341]","mean=+0.1841,ci95=[-0.0124,+0.3414]","mean=-0.0137,ci95=[-0.1956,+0.1769]","mean=-0.0133,ci95=[-0.2027,+0.1674]","mean=+0.0318,ci95=[-0.2165,+0.2641]","mean=+0.1775,ci95=[-0.0183,+0.3414]","mean=+0.0360,ci95=[-0.1282,+0.2032]","mean=+0.0038,ci95=[-0.1756,+0.1854]","mean=-0.1262,ci95=[-0.3461,+0.0812]","mean=-0.0297,ci95=[-0.2524,+0.1823]","mean=-0.0760,ci95=[-0.2765,+0.1418]","mean=-0.0348,ci95=[-0.2903,+0.2185]","mean=+0.0021,ci95=[-0.2386,+0.2387]","mean=+0.0433,ci95=[-0.1720,+0.2536]","mean=+0.1116,ci95=[-0.0294,+0.2847]"
dinov3_vitb16_ft-full_cls,"mean=-0.2764,ci95=[-0.4372,-0.0641]","mean=-0.3384,ci95=[-0.4779,-0.1626]","mean=-0.3530,ci95=[-0.4947,-0.1821]","mean=-0.2701,ci95=[-0.4432,-0.0780]","mean=-0.0723,ci95=[-0.2325,+0.0175]","mean=-0.3384,ci95=[-0.4779,-0.1626]","mean=-0.1750,ci95=[-0.3367,-0.0061]","mean=-0.1611,ci95=[-0.3224,+0.0175]","mean=-0.0898,ci95=[-0.2401,+0.0428]","mean=-0.3246,ci95=[-0.4633,-0.1455]","mean=-0.1555,ci95=[-0.3284,+0.0231]","mean=-0.1775,ci95=[-0.3414,+0.0183]",,"mean=-0.0695,ci95=[-0.2342,+0.0259]","mean=-0.0987,ci95=[-0.2595,+0.0388]","mean=-0.2104,ci95=[-0.3774,-0.0158]","mean=-0.1917,ci95=[-0.3531,-0.0197]","mean=-0.1724,ci95=[-0.3446,+0.0129]","mean=-0.1451,ci95=[-0.3138,+0.0121]","mean=+0.0065,ci95=[+0.0000,+0.0205]","mean=-0.1912,ci95=[-0.3524,-0.0167]","mean=-0.1909,ci95=[-0.3534,-0.0179]","mean=-0.1458,ci95=[-0.3162,+0.0249]","mean=+0.0000,ci95=[+0.0000,+0.0000]","mean=-0.1416,ci95=[-0.3035,+0.0299]","mean=-0.1737,ci95=[-0.3288,-0.0032]","mean=-0.3037,ci95=[-0.4521,-0.1046]","mean=-0.2072,ci95=[-0.3655,-0.0317]","mean=-0.2536,ci95=[-0.4140,-0.0572]","mean=-0.2124,ci95=[-0.3844,+0.0000]","mean=-0.1754,ci95=[-0.3474,+0.0116]","mean=-0.1343,ci95=[-0.2973,+0.0192]","mean=-0.0659,ci95=[-0.2211,+0.0253]"
dinov3_vitb16_ft-full_gap,"mean=-0.2069,ci95=[-0.3873,-0.0097]","mean=-0.2689,ci95=[-0.4562,-0.0738]","mean=-0.2835,ci95=[-0.4467,-0.0854]","mean=-0.2006,ci95=[-0.3808,-0.0121]","mean=-0.0028,ci95=[-0.2218,+0.1986]","mean=-0.2689,ci95=[-0.4562,-0.0738]","mean=-0.1055,ci95=[-0.3283,+0.1634]","mean=-0.0916,ci95=[-0.3104,+0.1562]","mean=-0.0203,ci95=[-0.2303,+0.2201]","mean=-0.2551,ci95=[-0.4272,-0.0644]","mean=-0.0861,ci95=[-0.3202,+0.1631]","mean=-0.1081,ci95=[-0.2873,+0.0394]","mean=+0.0695,ci95=[-0.0259,+0.2342]",,"mean=-0.0292,ci95=[-0.2568,+0.1960]","mean=-0.1409,ci95=[-0.3118,+0.0380]","mean=-0.1222,ci95=[-0.3482,+0.1280]","mean=-0.1029,ci95=[-0.3256,+0.1502]","mean=-0.0756,ci95=[-0.3069,+0.1744]","mean=+0.0760,ci95=[-0.0247,+0.2456]","mean=-0.1217,ci95=[-0.3433,+0.1402]","mean=-0.1214,ci95=[-0.3408,+0.1289]","mean=-0.0763,ci95=[-0.2557,+0.1071]","mean=+0.0695,ci95=[-0.0259,+0.2342]","mean=-0.0721,ci95=[-0.2890,+0.1791]","mean=-0.1042,ci95=[-0.3170,+0.1522]","mean=-0.2342,ci95=[-0.4109,-0.0447]","mean=-0.1377,ci95=[-0.3234,+0.0666]","mean=-0.1841,ci95=[-0.3673,+0.0000]","mean=-0.1429,ci95=[-0.3890,+0.1206]","mean=-0.1059,ci95=[-0.3417,+0.1623]","mean=-0.0648,ci95=[-0.2881,+0.1920]","mean=+0.0036,ci95=[-0.2218,+0.2106]"
dinov3_vitb16_logreg_cls,"mean=-0.1777,ci95=[-0.3408,-0.0060]","mean=-0.2397,ci95=[-0.4042,-0.0710]","mean=-0.2543,ci95=[-0.4323,-0.0662]","mean=-0.1714,ci95=[-0.3370,-0.0213]","mean=+0.0264,ci95=[-0.0819,+0.1785]","mean=-0.2397,ci95=[-0.4042,-0.0710]","mean=-0.0763,ci95=[-0.2838,+0.1399]","mean=-0.0624,ci95=[-0.3019,+0.1928]","mean=+0.0089,ci95=[-0.2171,+0.2335]","mean=-0.2259,ci95=[-0.4240,-0.0000]","mean=-0.0569,ci95=[-0.1827,-0.0000]","mean=-0.0789,ci95=[-0.2720,+0.1180]","mean=+0.0987,ci95=[-0.0388,+0.2595]","mean=+0.0292,ci95=[-0.1960,+0.2568]",,"mean=-0.1117,ci95=[-0.2633,+0.0186]","mean=-0.0931,ci95=[-0.2937,+0.1277]","mean=-0.0738,ci95=[-0.2706,+0.1230]","mean=-0.0464,ci95=[-0.2287,+0.1403]","mean=+0.1052,ci95=[-0.0299,+0.2622]","mean=-0.0925,ci95=[-0.2900,+0.1238]","mean=-0.0922,ci95=[-0.2874,+0.1154]","mean=-0.0471,ci95=[-0.2880,+0.2019]","mean=+0.0987,ci95=[-0.0388,+0.2595]","mean=-0.0429,ci95=[-0.2282,+0.1501]","mean=-0.0751,ci95=[-0.2758,+0.1319]","mean=-0.2050,ci95=[-0.4471,+0.0784]","mean=-0.1085,ci95=[-0.3410,+0.1478]","mean=-0.1549,ci95=[-0.4024,+0.1390]","mean=-0.1137,ci95=[-0.3128,+0.1069]","mean=-0.0767,ci95=[-0.2816,+0.1341]","mean=-0.0356,ci95=[-0.2841,+0.2175]","mean=+0.0328,ci95=[-0.1960,+0.2426]"
dinov3_vitb16_logreg_gap,"mean=-0.0660,ci95=[-0.1970,+0.0477]","mean=-0.1280,ci95=[-0.3196,+0.0678]","mean=-0.1425,ci95=[-0.3265,+0.0338]","mean=-0.0597,ci95=[-0.2277,+0.1084]","mean=+0.1381,ci95=[-0.0397,+0.3138]","mean=-0.1280,ci95=[-0.3196,+0.0678]","mean=+0.0355,ci95=[-0.1739,+0.2505]","mean=+0.0493,ci95=[-0.2019,+0.2757]","mean=+0.1206,ci95=[-0.0832,+0.3224]","mean=-0.1142,ci95=[-0.3075,+0.0626]","mean=+0.0549,ci95=[-0.1263,+0.2239]","mean=+0.0329,ci95=[-0.0523,+0.1540]","mean=+0.2104,ci95=[+0.0158,+0.3774]","mean=+0.1409,ci95=[-0.0380,+0.3118]","mean=+0.1117,ci95=[-0.0186,+0.2633]",,"mean=+0.0187,ci95=[-0.2353,+0.2618]","mean=+0.0380,ci95=[-0.2189,+0.2642]","mean=+0.0654,ci95=[-0.1540,+0.2886]","mean=+0.2169,ci95=[+0.0240,+0.3774]","mean=+0.0192,ci95=[-0.1894,+0.2277]","mean=+0.0196,ci95=[-0.1760,+0.2252]","mean=+0.0647,ci95=[-0.1863,+0.3034]","mean=+0.2104,ci95=[+0.0158,+0.3774]","mean=+0.0688,ci95=[-0.1163,+0.2622]","mean=+0.0367,ci95=[-0.1604,+0.2468]","mean=-0.0933,ci95=[-0.3230,+0.1472]","mean=+0.0032,ci95=[-0.2364,+0.2262]","mean=-0.0431,ci95=[-0.2590,+0.1914]","mean=-0.0019,ci95=[-0.1894,+0.2091]","mean=+0.0350,ci95=[-0.1569,+0.2325]","mean=+0.0762,ci95=[-0.1512,+0.2972]","mean=+0.1445,ci95=[-0.0274,+0.3156]"
dinov3_vitl16_ft-frozen_cls,"mean=-0.0847,ci95=[-0.3031,+0.1502]","mean=-0.1467,ci95=[-0.3380,+0.0478]","mean=-0.1612,ci95=[-0.3464,+0.0228]","mean=-0.0783,ci95=[-0.3023,+0.1469]","mean=+0.1194,ci95=[-0.0588,+0.2943]","mean=-0.1467,ci95=[-0.3380,+0.0478]","mean=+0.0168,ci95=[-0.1940,+0.2114]","mean=+0.0306,ci95=[-0.1513,+0.2269]","mean=+0.1019,ci95=[-0.1002,+0.2881]","mean=-0.1329,ci95=[-0.3138,+0.0552]","mean=+0.0362,ci95=[-0.1486,+0.2259]","mean=+0.0142,ci95=[-0.2120,+0.2673]","mean=+0.1917,ci95=[+0.0197,+0.3531]","mean=+0.1222,ci95=[-0.1280,+0.3482]","mean=+0.0931,ci95=[-0.1277,+0.2937]","mean=-0.0187,ci95=[-0.2618,+0.2353]",,"mean=+0.0193,ci95=[-0.0875,+0.1552]","mean=+0.0467,ci95=[-0.1042,+0.2168]","mean=+0.1983,ci95=[+0.0286,+0.3541]","mean=+0.0005,ci95=[-0.2386,+0.2322]","mean=+0.0009,ci95=[-0.2023,+0.2094]","mean=+0.0460,ci95=[-0.1504,+0.2441]","mean=+0.1917,ci95=[+0.0197,+0.3531]","mean=+0.0501,ci95=[-0.1829,+0.2655]","mean=+0.0180,ci95=[-0.1831,+0.2233]","mean=-0.1120,ci95=[-0.3127,+0.1234]","mean=-0.0155,ci95=[-0.2333,+0.2190]","mean=-0.0618,ci95=[-0.2653,+0.1601]","mean=-0.0206,ci95=[-0.2782,+0.2182]","mean=+0.0163,ci95=[-0.2380,+0.2468]","mean=+0.0575,ci95=[-0.2219,+0.3065]","mean=+0.1258,ci95=[-0.1238,+0.3387]"
dinov3_vitl16_ft-frozen_gap,"mean=-0.1040,ci95=[-0.3416,+0.1663]","mean=-0.1660,ci95=[-0.3698,+0.0436]","mean=-0.1805,ci95=[-0.3698,+0.0147]","mean=-0.0976,ci95=[-0.2842,+0.0821]","mean=+0.1001,ci95=[-0.0454,+0.2706]","mean=-0.1660,ci95=[-0.3698,+0.0436]","mean=-0.0025,ci95=[-0.1982,+0.1929]","mean=+0.0113,ci95=[-0.1569,+0.1768]","mean=+0.0826,ci95=[-0.1143,+0.2722]","mean=-0.1522,ci95=[-0.3064,-0.0000]","mean=+0.0169,ci95=[-0.2060,+0.2459]","mean=-0.0051,ci95=[-0.2223,+0.2427]","mean=+0.1724,ci95=[-0.0129,+0.3446]","mean=+0.1029,ci95=[-0.1502,+0.3256]","mean=+0.0738,ci95=[-0.1230,+0.2706]","mean=-0.0380,ci95=[-0.2642,+0.2189]","mean=-0.0193,ci95=[-0.1552,+0.0875]",,"mean=+0.0274,ci95=[-0.0819,+0.1578]","mean=+0.1790,ci95=[-0.0061,+0.3473]","mean=-0.0188,ci95=[-0.2484,+0.2221]","mean=-0.0184,ci95=[-0.2461,+0.2128]","mean=+0.0267,ci95=[-0.2092,+0.2482]","mean=+0.1724,ci95=[-0.0129,+0.3446]","mean=+0.0308,ci95=[-0.2001,+0.2492]","mean=-0.0013,ci95=[-0.2339,+0.2282]","mean=-0.1313,ci95=[-0.3800,+0.1334]","mean=-0.0348,ci95=[-0.2768,+0.2116]","mean=-0.0811,ci95=[-0.3333,+0.1920]","mean=-0.0399,ci95=[-0.2631,+0.1974]","mean=-0.0030,ci95=[-0.2183,+0.2235]","mean=+0.0382,ci95=[-0.2360,+0.3015]","mean=+0.1065,ci95=[-0.1502,+0.3247]"
dinov3_vitl16_logreg_cls,"mean=-0.1313,ci95=[-0.3595,+0.1288]","mean=-0.1933,ci95=[-0.3788,+0.0159]","mean=-0.2079,ci95=[-0.3999,-0.0006]","mean=-0.1250,ci95=[-0.3634,+0.1050]","mean=+0.0728,ci95=[-0.0000,+0.2296]","mean=-0.1933,ci95=[-0.3788,+0.0159]","mean=-0.0299,ci95=[-0.1998,+0.1258]","mean=-0.0160,ci95=[-0.2225,+0.2105]","mean=+0.0553,ci95=[-0.1305,+0.2404]","mean=-0.1795,ci95=[-0.3663,+0.0099]","mean=-0.0105,ci95=[-0.2355,+0.2107]","mean=-0.0325,ci95=[-0.2341,+0.1981]","mean=+0.1451,ci95=[-0.0121,+0.3138]","mean=+0.0756,ci95=[-0.1744,+0.3069]","mean=+0.0464,ci95=[-0.1403,+0.2287]","mean=-0.0654,ci95=[-0.2886,+0.1540]","mean=-0.0467,ci95=[-0.2168,+0.1042]","mean=-0.0274,ci95=[-0.1578,+0.0819]",,"mean=+0.1516,ci95=[+0.0000,+0.3164]","mean=-0.0461,ci95=[-0.2758,+0.1845]","mean=-0.0458,ci95=[-0.2758,+0.1894]","mean=-0.0007,ci95=[-0.2241,+0.2226]","mean=+0.1451,ci95=[-0.0121,+0.3138]","mean=+0.0035,ci95=[-0.2107,+0.2308]","mean=-0.0287,ci95=[-0.2543,+0.1949]","mean=-0.1587,ci95=[-0.3844,+0.0976]","mean=-0.0621,ci95=[-0.3202,+0.2147]","mean=-0.1085,ci95=[-0.3330,+0.1413]","mean=-0.0673,ci95=[-0.2881,+0.1604]","mean=-0.0304,ci95=[-0.2461,+0.2004]","mean=+0.0108,ci95=[-0.2594,+0.2631]","mean=+0.0792,ci95=[-0.1784,+0.3002]"
dinov3_vitl16_logreg_gap,"mean=-0.2829,ci95=[-0.4398,-0.0700]","mean=-0.3449,ci95=[-0.4822,-0.1688]","mean=-0.3595,ci95=[-0.4984,-0.1905]","mean=-0.2766,ci95=[-0.4442,-0.0883]","mean=-0.0788,ci95=[-0.2326,-0.0000]","mean=-0.3449,ci95=[-0.4822,-0.1688]","mean=-0.1815,ci95=[-0.3403,-0.0165]","mean=-0.1676,ci95=[-0.3263,+0.0118]","mean=-0.0963,ci95=[-0.2518,+0.0351]","mean=-0.3311,ci95=[-0.4643,-0.1516]","mean=-0.1621,ci95=[-0.3315,+0.0179]","mean=-0.1841,ci95=[-0.3414,+0.0124]","mean=-0.0065,ci95=[-0.0205,-0.0000]","mean=-0.0760,ci95=[-0.2456,+0.0247]","mean=-0.1052,ci95=[-0.2622,+0.0299]","mean=-0.2169,ci95=[-0.3774,-0.0240]","mean=-0.1983,ci95=[-0.3541,-0.0286]","mean=-0.1790,ci95=[-0.3473,+0.0061]","mean=-0.1516,ci95=[-0.3164,-0.0000]",,"mean=-0.1977,ci95=[-0.3617,-0.0198]","mean=-0.1974,ci95=[-0.3599,-0.0280]","mean=-0.1523,ci95=[-0.3215,+0.0210]","mean=-0.0065,ci95=[-0.0205,+0.0000]","mean=-0.1481,ci95=[-0.3076,+0.0236]","mean=-0.1803,ci95=[-0.3351,-0.0110]","mean=-0.3102,ci95=[-0.4582,-0.1152]","mean=-0.2137,ci95=[-0.3725,-0.0390]","mean=-0.2601,ci95=[-0.4208,-0.0697]","mean=-0.2189,ci95=[-0.3846,+0.0000]","mean=-0.1819,ci95=[-0.3483,+0.0061]","mean=-0.1408,ci95=[-0.3038,+0.0121]","mean=-0.0724,ci95=[-0.2233,+0.0142]"
dinov3_vits16_ft-frozen_cls,"mean=-0.0852,ci95=[-0.3100,+0.1356]","mean=-0.1472,ci95=[-0.3592,+0.0812]","mean=-0.1618,ci95=[-0.3808,+0.0606]","mean=-0.0789,ci95=[-0.3496,+0.1870]","mean=+0.1189,ci95=[-0.0504,+0.2906]","mean=-0.1472,ci95=[-0.3592,+0.0812]","mean=+0.0162,ci95=[-0.1909,+0.2175]","mean=+0.0301,ci95=[-0.1950,+0.2603]","mean=+0.1014,ci95=[-0.1143,+0.3024]","mean=-0.1334,ci95=[-0.3474,+0.0836]","mean=+0.0357,ci95=[-0.2096,+0.2580]","mean=+0.0137,ci95=[-0.1769,+0.1956]","mean=+0.1912,ci95=[+0.0167,+0.3524]","mean=+0.1217,ci95=[-0.1402,+0.3433]","mean=+0.0925,ci95=[-0.1238,+0.2900]","mean=-0.0192,ci95=[-0.2277,+0.1894]","mean=-0.0005,ci95=[-0.2322,+0.2386]","mean=+0.0188,ci95=[-0.2221,+0.2484]","mean=+0.0461,ci95=[-0.1845,+0.2758]","mean=+0.1977,ci95=[+0.0198,+0.3617]",,"mean=+0.0003,ci95=[-0.1464,+0.1455]","mean=+0.0455,ci95=[-0.1991,+0.2913]","mean=+0.1912,ci95=[+0.0167,+0.3524]","mean=+0.0496,ci95=[+0.0000,+0.1636]","mean=+0.0175,ci95=[-0.1297,+0.1538]","mean=-0.1125,ci95=[-0.3326,+0.1377]","mean=-0.0160,ci95=[-0.2003,+0.1666]","mean=-0.0624,ci95=[-0.3205,+0.2204]","mean=-0.0212,ci95=[-0.2653,+0.2235]","mean=+0.0158,ci95=[-0.2331,+0.2603]","mean=+0.0569,ci95=[-0.0935,+0.2172]","mean=+0.1253,ci95=[-0.0397,+0.3078]"
dinov3_vits16_ft-frozen_gap,"mean=-0.0855,ci95=[-0.2726,+0.0947]","mean=-0.1475,ci95=[-0.3496,+0.0861]","mean=-0.1621,ci95=[-0.3687,+0.0455]","mean=-0.0792,ci95=[-0.3498,+0.1886]","mean=+0.1186,ci95=[-0.0596,+0.3019]","mean=-0.1475,ci95=[-0.3496,+0.0861]","mean=+0.0159,ci95=[-0.1965,+0.2175]","mean=+0.0298,ci95=[-0.2076,+0.2606]","mean=+0.1011,ci95=[-0.1125,+0.2970]","mean=-0.1337,ci95=[-0.3493,+0.0862]","mean=+0.0353,ci95=[-0.1408,+0.2144]","mean=+0.0133,ci95=[-0.1674,+0.2027]","mean=+0.1909,ci95=[+0.0179,+0.3534]","mean=+0.1214,ci95=[-0.1289,+0.3408]","mean=+0.0922,ci95=[-0.1154,+0.2874]","mean=-0.0196,ci95=[-0.2252,+0.1760]","mean=-0.0009,ci95=[-0.2094,+0.2023]","mean=+0.0184,ci95=[-0.2128,+0.2461]","mean=+0.0458,ci95=[-0.1894,+0.2758]","mean=+0.1974,ci95=[+0.0280,+0.3599]","mean=-0.0003,ci95=[-0.1455,+0.1464]",,"mean=+0.0451,ci95=[-0.1600,+0.2411]","mean=+0.1909,ci95=[+0.0179,+0.3534]","mean=+0.0493,ci95=[-0.0365,+0.1711]","mean=+0.0171,ci95=[+0.0000,+0.0576]","mean=-0.1129,ci95=[-0.2881,+0.0784]","mean=-0.0163,ci95=[-0.1993,+0.1765]","mean=-0.0627,ci95=[-0.2788,+0.1589]","mean=-0.0215,ci95=[-0.2711,+0.2172]","mean=+0.0154,ci95=[-0.2232,+0.2493]","mean=+0.0566,ci95=[-0.0915,+0.2327]","mean=+0.1249,ci95=[-0.0368,+0.2907]"
dinov3_vits16_ft-full_cls,"mean=-0.1306,ci95=[-0.3437,+0.1068]","mean=-0.1927,ci95=[-0.3870,-0.0002]","mean=-0.2072,ci95=[-0.4086,+0.0007]","mean=-0.1243,ci95=[-0.3899,+0.1580]","mean=+0.0735,ci95=[-0.1823,+0.2950]","mean=-0.1927,ci95=[-0.3870,-0.0002]","mean=-0.0292,ci95=[-0.2667,+0.2088]","mean=-0.0153,ci95=[-0.2602,+0.2379]","mean=+0.0559,ci95=[-0.1545,+0.2496]","mean=-0.1788,ci95=[-0.3920,+0.0615]","mean=-0.0098,ci95=[-0.2351,+0.2121]","mean=-0.0318,ci95=[-0.2641,+0.2165]","mean=+0.1458,ci95=[-0.0249,+0.3162]","mean=+0.0763,ci95=[-0.1071,+0.2557]","mean=+0.0471,ci95=[-0.2019,+0.2880]","mean=-0.0647,ci95=[-0.3034,+0.1863]","mean=-0.0460,ci95=[-0.2441,+0.1504]","mean=-0.0267,ci95=[-0.2482,+0.2092]","mean=+0.0007,ci95=[-0.2226,+0.2241]","mean=+0.1523,ci95=[-0.0210,+0.3215]","mean=-0.0455,ci95=[-0.2913,+0.1991]","mean=-0.0451,ci95=[-0.2411,+0.1600]",,"mean=+0.1458,ci95=[-0.0249,+0.3162]","mean=+0.0042,ci95=[-0.2122,+0.2331]","mean=-0.0280,ci95=[-0.2171,+0.1670]","mean=-0.1580,ci95=[-0.3106,-0.0186]","mean=-0.0615,ci95=[-0.2285,+0.1087]","mean=-0.1078,ci95=[-0.2913,+0.0608]","mean=-0.0666,ci95=[-0.3229,+0.1836]","mean=-0.0297,ci95=[-0.2764,+0.2050]","mean=+0.0115,ci95=[-0.2254,+0.2318]","mean=+0.0798,ci95=[-0.1779,+0.3032]"
dinov3_vits16_ft-full_gap,"mean=-0.2764,ci95=[-0.4372,-0.0641]","mean=-0.3384,ci95=[-0.4779,-0.1626]","mean=-0.3530,ci95=[-0.4947,-0.1821]","mean=-0.2701,ci95=[-0.4432,-0.0780]","mean=-0.0723,ci95=[-0.2325,+0.0175]","mean=-0.3384,ci95=[-0.4779,-0.1626]","mean=-0.1750,ci95=[-0.3367,-0.0061]","mean=-0.1611,ci95=[-0.3224,+0.0175]","mean=-0.0898,ci95=[-0.2401,+0.0428]","mean=-0.3246,ci95=[-0.4633,-0.1455]","mean=-0.1555,ci95=[-0.3284,+0.0231]","mean=-0.1775,ci95=[-0.3414,+0.0183]","mean=-0.0000,ci95=[-0.0000,-0.0000]","mean=-0.0695,ci95=[-0.2342,+0.0259]","mean=-0.0987,ci95=[-0.2595,+0.0388]","mean=-0.2104,ci95=[-0.3774,-0.0158]","mean=-0.1917,ci95=[-0.3531,-0.0197]","mean=-0.1724,ci95=[-0.3446,+0.0129]","mean=-0.1451,ci95=[-0.3138,+0.0121]","mean=+0.0065,ci95=[-0.0000,+0.0205]","mean=-0.1912,ci95=[-0.3524,-0.0167]","mean=-0.1909,ci95=[-0.3534,-0.0179]","mean=-0.1458,ci95=[-0.3162,+0.0249]",,"mean=-0.1416,ci95=[-0.3035,+0.0299]","mean=-0.1737,ci95=[-0.3288,-0.0032]","mean=-0.3037,ci95=[-0.4521,-0.1046]","mean=-0.2072,ci95=[-0.3655,-0.0317]","mean=-0.2536,ci95=[-0.4140,-0.0572]","mean=-0.2124,ci95=[-0.3844,+0.0000]","mean=-0.1754,ci95=[-0.3474,+0.0116]","mean=-0.1343,ci95=[-0.2973,+0.0192]","mean=-0.0659,ci95=[-0.2211,+0.0253]"
dinov3_vits16_logreg_cls,"mean=-0.1348,ci95=[-0.3401,+0.0785]","mean=-0.1968,ci95=[-0.4107,+0.0444]","mean=-0.2114,ci95=[-0.4196,+0.0232]","mean=-0.1285,ci95=[-0.3788,+0.1368]","mean=+0.0693,ci95=[-0.0710,+0.2366]","mean=-0.1968,ci95=[-0.4107,+0.0444]","mean=-0.0334,ci95=[-0.2255,+0.1439]","mean=-0.0195,ci95=[-0.2339,+0.2051]","mean=+0.0518,ci95=[-0.1482,+0.2401]","mean=-0.1830,ci95=[-0.3701,+0.0098]","mean=-0.0140,ci95=[-0.2403,+0.1970]","mean=-0.0360,ci95=[-0.2032,+0.1282]","mean=+0.1416,ci95=[-0.0299,+0.3035]","mean=+0.0721,ci95=[-0.1791,+0.2890]","mean=+0.0429,ci95=[-0.1501,+0.2282]","mean=-0.0688,ci95=[-0.2622,+0.1163]","mean=-0.0501,ci95=[-0.2655,+0.1829]","mean=-0.0308,ci95=[-0.2492,+0.2001]","mean=-0.0035,ci95=[-0.2308,+0.2107]","mean=+0.1481,ci95=[-0.0236,+0.3076]","mean=-0.0496,ci95=[-0.1636,-0.0000]","mean=-0.0493,ci95=[-0.1711,+0.0365]","mean=-0.0042,ci95=[-0.2331,+0.2122]","mean=+0.1416,ci95=[-0.0299,+0.3035]",,"mean=-0.0321,ci95=[-0.1525,+0.0411]","mean=-0.1621,ci95=[-0.3584,+0.0515]","mean=-0.0656,ci95=[-0.2579,+0.1317]","mean=-0.1120,ci95=[-0.3446,+0.1517]","mean=-0.0708,ci95=[-0.3042,+0.1625]","mean=-0.0338,ci95=[-0.2655,+0.1921]","mean=+0.0073,ci95=[-0.1082,+0.1347]","mean=+0.0757,ci95=[-0.0682,+0.2362]"
