,cinema_pretrained_ft-frozen_cls,cinema_pretrained_ft-frozen_gap,cinema_pretrained_ft-full_cls,cinema_pretrained_ft-full_gap,cinema_pretrained_logreg_cls,cinema_pretrained_logreg_gap,dinov3_vit7b16_ft-frozen_cls,dinov3_vit7b16_ft-frozen_gap,dinov3_vit7b16_logreg_cls,dinov3_vit7b16_logreg_gap,dinov3_vitb16_ft-frozen_cls,dinov3_vitb16_ft-frozen_gap,dinov3_vitb16_ft-full_cls,dinov3_vitb16_ft-full_gap,dinov3_vitb16_logreg_cls,dinov3_vitb16_logreg_gap,dinov3_vitl16_ft-frozen_cls,dinov3_vitl16_ft-frozen_gap,dinov3_vitl16_logreg_cls,dinov3_vitl16_logreg_gap,dinov3_vits16_ft-frozen_cls,dinov3_vits16_ft-frozen_gap,dinov3_vits16_ft-full_cls,dinov3_vits16_ft-full_gap,dinov3_vits16_logreg_cls,dinov3_vits16_logreg_gap,sam_vit_base_ft-frozen_gap,sam_vit_base_ft-full_gap,sam_vit_base_logreg_gap,sam_vit_huge_ft-frozen_gap,sam_vit_huge_logreg_gap,sam_vit_large_ft-frozen_gap,sam_vit_large_logreg_gap
dinov3_vitb16_ft-frozen_cls,"mean=-0.0677,ci95=[-0.2198,+0.0903]","mean=-0.0874,ci95=[-0.2668,+0.0851]","mean=-0.1002,ci95=[-0.2989,+0.0936]","mean=+0.3183,ci95=[+0.1362,+0.4968]","mean=-0.0744,ci95=[-0.2377,+0.0911]","mean=-0.0741,ci95=[-0.2615,+0.0958]","mean=-0.0042,ci95=[-0.2032,+0.1700]","mean=+0.0295,ci95=[-0.1593,+0.2167]","mean=+0.0718,ci95=[-0.1051,+0.2448]","mean=-0.0637,ci95=[-0.2335,+0.1022]",,"mean=-0.0667,ci95=[-0.2098,+0.0813]","mean=+0.2372,ci95=[+0.0589,+0.4222]","mean=+0.1705,ci95=[-0.0018,+0.3496]","mean=+0.0000,ci95=[+0.0000,+0.0000]","mean=-0.0490,ci95=[-0.1671,+0.0684]","mean=+0.1170,ci95=[-0.0342,+0.2706]","mean=-0.0108,ci95=[-0.1654,+0.1450]","mean=+0.0607,ci95=[-0.0850,+0.1993]","mean=+0.0614,ci95=[-0.0860,+0.2191]","mean=+0.0497,ci95=[-0.1170,+0.2222]","mean=+0.0918,ci95=[-0.0648,+0.2525]","mean=+0.0464,ci95=[-0.1286,+0.2252]","mean=+0.3726,ci95=[+0.2122,+0.5517]","mean=+0.0682,ci95=[-0.0862,+0.2324]","mean=+0.0896,ci95=[-0.0736,+0.2463]","mean=-0.0160,ci95=[-0.1903,+0.1722]","mean=+0.1061,ci95=[-0.0785,+0.2917]","mean=+0.0116,ci95=[-0.1680,+0.1770]","mean=+0.0248,ci95=[-0.1520,+0.1999]","mean=+0.0393,ci95=[-0.1483,+0.2157]","mean=+0.0521,ci95=[-0.1266,+0.2477]","mean=+0.1203,ci95=[-0.0664,+0.3075]"
dinov3_vitb16_ft-frozen_gap,"mean=-0.0010,ci95=[-0.1439,+0.1490]","mean=-0.0207,ci95=[-0.1812,+0.1459]","mean=-0.0335,ci95=[-0.2223,+0.1444]","mean=+0.3850,ci95=[+0.2226,+0.5476]","mean=-0.0077,ci95=[-0.1708,+0.1490]","mean=-0.0075,ci95=[-0.1705,+0.1552]","mean=+0.0625,ci95=[-0.1076,+0.2372]","mean=+0.0962,ci95=[-0.0627,+0.2574]","mean=+0.1385,ci95=[-0.0142,+0.2960]","mean=+0.0030,ci95=[-0.1336,+0.1321]","mean=+0.0667,ci95=[-0.0813,+0.2098]",,"mean=+0.3039,ci95=[+0.1323,+0.4725]","mean=+0.2372,ci95=[+0.0709,+0.3904]","mean=+0.0667,ci95=[-0.0813,+0.2098]","mean=+0.0177,ci95=[-0.0487,+0.0921]","mean=+0.1837,ci95=[+0.0308,+0.3363]","mean=+0.0559,ci95=[-0.0797,+0.1919]","mean=+0.1274,ci95=[-0.0318,+0.2815]","mean=+0.1281,ci95=[-0.0227,+0.2752]","mean=+0.1164,ci95=[-0.0395,+0.2722]","mean=+0.1585,ci95=[+0.0090,+0.3029]","mean=+0.1131,ci95=[-0.0581,+0.2807]","mean=+0.4393,ci95=[+0.2706,+0.5910]","mean=+0.1349,ci95=[-0.0264,+0.2874]","mean=+0.1563,ci95=[+0.0083,+0.3068]","mean=+0.0507,ci95=[-0.1006,+0.2091]","mean=+0.1728,ci95=[-0.0159,+0.3605]","mean=+0.0783,ci95=[-0.0708,+0.2174]","mean=+0.0915,ci95=[-0.0565,+0.2407]","mean=+0.1060,ci95=[-0.0480,+0.2569]","mean=+0.1188,ci95=[-0.0200,+0.2665]","mean=+0.1870,ci95=[+0.0522,+0.3206]"
dinov3_vitb16_ft-full_cls,"mean=-0.3049,ci95=[-0.4748,-0.1230]","mean=-0.3246,ci95=[-0.5040,-0.1225]","mean=-0.3375,ci95=[-0.5531,-0.1332]","mean=+0.0811,ci95=[-0.0931,+0.2561]","mean=-0.3117,ci95=[-0.4842,-0.1343]","mean=-0.3114,ci95=[-0.4915,-0.1204]","mean=-0.2414,ci95=[-0.4177,-0.0666]","mean=-0.2078,ci95=[-0.3720,-0.0307]","mean=-0.1655,ci95=[-0.3462,+0.0296]","mean=-0.3010,ci95=[-0.4637,-0.1261]","mean=-0.2372,ci95=[-0.4222,-0.0589]","mean=-0.3039,ci95=[-0.4725,-0.1323]",,"mean=-0.0668,ci95=[-0.2241,+0.0911]","mean=-0.2372,ci95=[-0.4222,-0.0589]","mean=-0.2862,ci95=[-0.4580,-0.1126]","mean=-0.1203,ci95=[-0.3007,+0.0658]","mean=-0.2480,ci95=[-0.4415,-0.0459]","mean=-0.1766,ci95=[-0.3688,+0.0218]","mean=-0.1758,ci95=[-0.3669,+0.0301]","mean=-0.1875,ci95=[-0.3781,+0.0022]","mean=-0.1454,ci95=[-0.3281,+0.0384]","mean=-0.1908,ci95=[-0.3713,-0.0037]","mean=+0.1354,ci95=[-0.0045,+0.2846]","mean=-0.1691,ci95=[-0.3514,+0.0079]","mean=-0.1476,ci95=[-0.3342,+0.0445]","mean=-0.2533,ci95=[-0.4350,-0.0640]","mean=-0.1311,ci95=[-0.3102,+0.0437]","mean=-0.2257,ci95=[-0.4253,-0.0344]","mean=-0.2124,ci95=[-0.3755,-0.0419]","mean=-0.1980,ci95=[-0.3700,-0.0374]","mean=-0.1852,ci95=[-0.3727,+0.0010]","mean=-0.1169,ci95=[-0.2803,+0.0572]"
dinov3_vitb16_ft-full_gap,"mean=-0.2381,ci95=[-0.4335,-0.0472]","mean=-0.2578,ci95=[-0.4521,-0.0454]","mean=-0.2707,ci95=[-0.4497,-0.1007]","mean=+0.1478,ci95=[+0.0021,+0.2935]","mean=-0.2449,ci95=[-0.4421,-0.0519]","mean=-0.2446,ci95=[-0.4298,-0.0410]","mean=-0.1747,ci95=[-0.3451,+0.0035]","mean=-0.1410,ci95=[-0.3028,+0.0277]","mean=-0.0987,ci95=[-0.2777,+0.0901]","mean=-0.2342,ci95=[-0.3780,-0.0881]","mean=-0.1705,ci95=[-0.3496,+0.0018]","mean=-0.2372,ci95=[-0.3904,-0.0709]","mean=+0.0668,ci95=[-0.0911,+0.2241]",,"mean=-0.1705,ci95=[-0.3496,+0.0018]","mean=-0.2194,ci95=[-0.3908,-0.0589]","mean=-0.0535,ci95=[-0.2340,+0.1303]","mean=-0.1813,ci95=[-0.3559,-0.0018]","mean=-0.1098,ci95=[-0.3004,+0.0823]","mean=-0.1091,ci95=[-0.2879,+0.0750]","mean=-0.1208,ci95=[-0.2956,+0.0715]","mean=-0.0786,ci95=[-0.2719,+0.1217]","mean=-0.1240,ci95=[-0.3006,+0.0515]","mean=+0.2021,ci95=[+0.0532,+0.3441]","mean=-0.1023,ci95=[-0.2791,+0.0676]","mean=-0.0808,ci95=[-0.2759,+0.1181]","mean=-0.1865,ci95=[-0.3791,-0.0075]","mean=-0.0644,ci95=[-0.2467,+0.1191]","mean=-0.1589,ci95=[-0.3513,+0.0241]","mean=-0.1457,ci95=[-0.3390,+0.0356]","mean=-0.1312,ci95=[-0.3257,+0.0573]","mean=-0.1184,ci95=[-0.3135,+0.0672]","mean=-0.0502,ci95=[-0.2312,+0.1299]"
dinov3_vitb16_logreg_cls,"mean=-0.0677,ci95=[-0.2198,+0.0903]","mean=-0.0874,ci95=[-0.2668,+0.0851]","mean=-0.1002,ci95=[-0.2989,+0.0936]","mean=+0.3183,ci95=[+0.1362,+0.4968]","mean=-0.0744,ci95=[-0.2377,+0.0911]","mean=-0.0741,ci95=[-0.2615,+0.0958]","mean=-0.0042,ci95=[-0.2032,+0.1700]","mean=+0.0295,ci95=[-0.1593,+0.2167]","mean=+0.0718,ci95=[-0.1051,+0.2448]","mean=-0.0637,ci95=[-0.2335,+0.1022]","mean=-0.0000,ci95=[-0.0000,-0.0000]","mean=-0.0667,ci95=[-0.2098,+0.0813]","mean=+0.2372,ci95=[+0.0589,+0.4222]","mean=+0.1705,ci95=[-0.0018,+0.3496]",,"mean=-0.0490,ci95=[-0.1671,+0.0684]","mean=+0.1170,ci95=[-0.0342,+0.2706]","mean=-0.0108,ci95=[-0.1654,+0.1450]","mean=+0.0607,ci95=[-0.0850,+0.1993]","mean=+0.0614,ci95=[-0.0860,+0.2191]","mean=+0.0497,ci95=[-0.1170,+0.2222]","mean=+0.0918,ci95=[-0.0648,+0.2525]","mean=+0.0464,ci95=[-0.1286,+0.2252]","mean=+0.3726,ci95=[+0.2122,+0.5517]","mean=+0.0682,ci95=[-0.0862,+0.2324]","mean=+0.0896,ci95=[-0.0736,+0.2463]","mean=-0.0160,ci95=[-0.1903,+0.1722]","mean=+0.1061,ci95=[-0.0785,+0.2917]","mean=+0.0116,ci95=[-0.1680,+0.1770]","mean=+0.0248,ci95=[-0.1520,+0.1999]","mean=+0.0393,ci95=[-0.1483,+0.2157]","mean=+0.0521,ci95=[-0.1266,+0.2477]","mean=+0.1203,ci95=[-0.0664,+0.3075]"
dinov3_vitb16_logreg_gap,"mean=-0.0187,ci95=[-0.1600,+0.1212]","mean=-0.0384,ci95=[-0.2035,+0.1306]","mean=-0.0513,ci95=[-0.2360,+0.1193]","mean=+0.3673,ci95=[+0.2044,+0.5261]","mean=-0.0255,ci95=[-0.1733,+0.1299]","mean=-0.0252,ci95=[-0.1911,+0.1401]","mean=+0.0448,ci95=[-0.1236,+0.2313]","mean=+0.0784,ci95=[-0.0896,+0.2480]","mean=+0.1208,ci95=[-0.0382,+0.2767]","mean=-0.0148,ci95=[-0.1555,+0.1345]","mean=+0.0490,ci95=[-0.0684,+0.1671]","mean=-0.0177,ci95=[-0.0921,+0.0487]","mean=+0.2862,ci95=[+0.1126,+0.4580]","mean=+0.2194,ci95=[+0.0589,+0.3908]","mean=+0.0490,ci95=[-0.0684,+0.1671]",,"mean=+0.1659,ci95=[+0.0088,+0.3352]","mean=+0.0382,ci95=[-0.1128,+0.1935]","mean=+0.1097,ci95=[-0.0590,+0.2736]","mean=+0.1104,ci95=[-0.0414,+0.2587]","mean=+0.0987,ci95=[-0.0672,+0.2737]","mean=+0.1408,ci95=[-0.0264,+0.3082]","mean=+0.0954,ci95=[-0.0776,+0.2630]","mean=+0.4216,ci95=[+0.2740,+0.5741]","mean=+0.1172,ci95=[-0.0613,+0.2910]","mean=+0.1386,ci95=[-0.0374,+0.3167]","mean=+0.0329,ci95=[-0.1443,+0.2143]","mean=+0.1551,ci95=[-0.0320,+0.3372]","mean=+0.0605,ci95=[-0.1190,+0.2250]","mean=+0.0738,ci95=[-0.0819,+0.2321]","mean=+0.0882,ci95=[-0.0635,+0.2429]","mean=+0.1010,ci95=[-0.0639,+0.2718]","mean=+0.1693,ci95=[+0.0102,+0.3262]"
dinov3_vitl16_ft-frozen_cls,"mean=-0.1846,ci95=[-0.3683,-0.0029]","mean=-0.2043,ci95=[-0.3843,-0.0176]","mean=-0.2172,ci95=[-0.4246,-0.0102]","mean=+0.2013,ci95=[+0.0131,+0.3829]","mean=-0.1914,ci95=[-0.3777,+0.0025]","mean=-0.1911,ci95=[-0.3783,-0.0047]","mean=-0.1212,ci95=[-0.2873,+0.0430]","mean=-0.0875,ci95=[-0.2531,+0.0821]","mean=-0.0452,ci95=[-0.2180,+0.1216]","mean=-0.1807,ci95=[-0.3264,-0.0292]","mean=-0.1170,ci95=[-0.2706,+0.0342]","mean=-0.1837,ci95=[-0.3363,-0.0308]","mean=+0.1203,ci95=[-0.0658,+0.3007]","mean=+0.0535,ci95=[-0.1303,+0.2340]","mean=-0.1170,ci95=[-0.2706,+0.0342]","mean=-0.1659,ci95=[-0.3352,-0.0088]",,"mean=-0.1278,ci95=[-0.2304,-0.0205]","mean=-0.0563,ci95=[-0.1820,+0.0656]","mean=-0.0556,ci95=[-0.1567,+0.0473]","mean=-0.0673,ci95=[-0.2325,+0.0949]","mean=-0.0251,ci95=[-0.1783,+0.1371]","mean=-0.0705,ci95=[-0.2484,+0.0974]","mean=+0.2556,ci95=[+0.0781,+0.4451]","mean=-0.0488,ci95=[-0.2071,+0.1140]","mean=-0.0273,ci95=[-0.1856,+0.1334]","mean=-0.1330,ci95=[-0.3056,+0.0642]","mean=-0.0109,ci95=[-0.2075,+0.1788]","mean=-0.1054,ci95=[-0.2752,+0.0885]","mean=-0.0922,ci95=[-0.2689,+0.0785]","mean=-0.0777,ci95=[-0.2513,+0.0951]","mean=-0.0649,ci95=[-0.2468,+0.1200]","mean=+0.0033,ci95=[-0.1833,+0.1940]"
dinov3_vitl16_ft-frozen_gap,"mean=-0.0569,ci95=[-0.2712,+0.1453]","mean=-0.0766,ci95=[-0.2646,+0.1276]","mean=-0.0894,ci95=[-0.2855,+0.1097]","mean=+0.3291,ci95=[+0.1520,+0.4930]","mean=-0.0636,ci95=[-0.2730,+0.1479]","mean=-0.0634,ci95=[-0.2587,+0.1369]","mean=+0.0066,ci95=[-0.1635,+0.1770]","mean=+0.0403,ci95=[-0.1108,+0.1802]","mean=+0.0826,ci95=[-0.0795,+0.2409]","mean=-0.0529,ci95=[-0.1851,+0.0773]","mean=+0.0108,ci95=[-0.1450,+0.1654]","mean=-0.0559,ci95=[-0.1919,+0.0797]","mean=+0.2480,ci95=[+0.0459,+0.4415]","mean=+0.1813,ci95=[+0.0018,+0.3559]","mean=+0.0108,ci95=[-0.1450,+0.1654]","mean=-0.0382,ci95=[-0.1935,+0.1128]","mean=+0.1278,ci95=[+0.0205,+0.2304]",,"mean=+0.0715,ci95=[-0.0515,+0.1959]","mean=+0.0722,ci95=[+0.0065,+0.1545]","mean=+0.0605,ci95=[-0.1175,+0.2352]","mean=+0.1026,ci95=[-0.0769,+0.2773]","mean=+0.0572,ci95=[-0.1193,+0.2393]","mean=+0.3834,ci95=[+0.2191,+0.5464]","mean=+0.0790,ci95=[-0.0979,+0.2531]","mean=+0.1004,ci95=[-0.0855,+0.2843]","mean=-0.0052,ci95=[-0.1739,+0.1728]","mean=+0.1169,ci95=[-0.0916,+0.3110]","mean=+0.0224,ci95=[-0.1465,+0.1868]","mean=+0.0356,ci95=[-0.1313,+0.1808]","mean=+0.0501,ci95=[-0.1185,+0.2076]","mean=+0.0629,ci95=[-0.1145,+0.2303]","mean=+0.1311,ci95=[-0.0511,+0.3003]"
dinov3_vitl16_logreg_cls,"mean=-0.1284,ci95=[-0.3247,+0.0717]","mean=-0.1480,ci95=[-0.3416,+0.0567]","mean=-0.1609,ci95=[-0.3866,+0.0612]","mean=+0.2576,ci95=[+0.0636,+0.4563]","mean=-0.1351,ci95=[-0.3447,+0.0738]","mean=-0.1348,ci95=[-0.3388,+0.0816]","mean=-0.0649,ci95=[-0.2089,+0.0977]","mean=-0.0312,ci95=[-0.1923,+0.1404]","mean=+0.0111,ci95=[-0.1454,+0.1547]","mean=-0.1244,ci95=[-0.2665,+0.0298]","mean=-0.0607,ci95=[-0.1993,+0.0850]","mean=-0.1274,ci95=[-0.2815,+0.0318]","mean=+0.1766,ci95=[-0.0218,+0.3688]","mean=+0.1098,ci95=[-0.0823,+0.3004]","mean=-0.0607,ci95=[-0.1993,+0.0850]","mean=-0.1097,ci95=[-0.2736,+0.0590]","mean=+0.0563,ci95=[-0.0656,+0.1820]","mean=-0.0715,ci95=[-0.1959,+0.0515]",,"mean=+0.0007,ci95=[-0.0975,+0.0967]","mean=-0.0110,ci95=[-0.1868,+0.1619]","mean=+0.0311,ci95=[-0.1509,+0.2031]","mean=-0.0142,ci95=[-0.1921,+0.1601]","mean=+0.3119,ci95=[+0.1176,+0.5105]","mean=+0.0075,ci95=[-0.1584,+0.1857]","mean=+0.0289,ci95=[-0.1511,+0.2069]","mean=-0.0767,ci95=[-0.2448,+0.1079]","mean=+0.0454,ci95=[-0.1670,+0.2523]","mean=-0.0491,ci95=[-0.2128,+0.1199]","mean=-0.0359,ci95=[-0.2083,+0.1340]","mean=-0.0214,ci95=[-0.2036,+0.1539]","mean=-0.0086,ci95=[-0.2001,+0.1781]","mean=+0.0596,ci95=[-0.1298,+0.2433]"
dinov3_vitl16_logreg_gap,"mean=-0.1291,ci95=[-0.3271,+0.0726]","mean=-0.1488,ci95=[-0.3342,+0.0629]","mean=-0.1616,ci95=[-0.3782,+0.0550]","mean=+0.2569,ci95=[+0.0787,+0.4293]","mean=-0.1358,ci95=[-0.3306,+0.0756]","mean=-0.1356,ci95=[-0.3272,+0.0758]","mean=-0.0656,ci95=[-0.2103,+0.0883]","mean=-0.0320,ci95=[-0.1781,+0.1039]","mean=+0.0104,ci95=[-0.1355,+0.1495]","mean=-0.1251,ci95=[-0.2639,+0.0177]","mean=-0.0614,ci95=[-0.2191,+0.0860]","mean=-0.1281,ci95=[-0.2752,+0.0227]","mean=+0.1758,ci95=[-0.0301,+0.3669]","mean=+0.1091,ci95=[-0.0750,+0.2879]","mean=-0.0614,ci95=[-0.2191,+0.0860]","mean=-0.1104,ci95=[-0.2587,+0.0414]","mean=+0.0556,ci95=[-0.0473,+0.1567]","mean=-0.0722,ci95=[-0.1545,-0.0065]","mean=-0.0007,ci95=[-0.0967,+0.0975]",,"mean=-0.0117,ci95=[-0.1775,+0.1548]","mean=+0.0304,ci95=[-0.1486,+0.2025]","mean=-0.0150,ci95=[-0.1986,+0.1696]","mean=+0.3112,ci95=[+0.1313,+0.4986]","mean=+0.0068,ci95=[-0.1489,+0.1711]","mean=+0.0282,ci95=[-0.1539,+0.2071]","mean=-0.0774,ci95=[-0.2574,+0.1002]","mean=+0.0447,ci95=[-0.1648,+0.2280]","mean=-0.0499,ci95=[-0.2115,+0.1174]","mean=-0.0366,ci95=[-0.2103,+0.1270]","mean=-0.0222,ci95=[-0.1982,+0.1385]","mean=-0.0094,ci95=[-0.1865,+0.1716]","mean=+0.0589,ci95=[-0.1242,+0.2456]"
dinov3_vits16_ft-frozen_cls,"mean=-0.1174,ci95=[-0.2925,+0.0527]","mean=-0.1371,ci95=[-0.3224,+0.0370]","mean=-0.1499,ci95=[-0.3391,+0.0469]","mean=+0.2686,ci95=[+0.0907,+0.4604]","mean=-0.1241,ci95=[-0.3150,+0.0626]","mean=-0.1238,ci95=[-0.3037,+0.0509]","mean=-0.0539,ci95=[-0.2297,+0.1192]","mean=-0.0202,ci95=[-0.1844,+0.1407]","mean=+0.0221,ci95=[-0.1397,+0.1830]","mean=-0.1134,ci95=[-0.2863,+0.0559]","mean=-0.0497,ci95=[-0.2222,+0.1170]","mean=-0.1164,ci95=[-0.2722,+0.0395]","mean=+0.1875,ci95=[-0.0022,+0.3781]","mean=+0.1208,ci95=[-0.0715,+0.2956]","mean=-0.0497,ci95=[-0.2222,+0.1170]","mean=-0.0987,ci95=[-0.2737,+0.0672]","mean=+0.0673,ci95=[-0.0949,+0.2325]","mean=-0.0605,ci95=[-0.2352,+0.1175]","mean=+0.0110,ci95=[-0.1619,+0.1868]","mean=+0.0117,ci95=[-0.1548,+0.1775]",,"mean=+0.0421,ci95=[-0.0722,+0.1579]","mean=-0.0033,ci95=[-0.1932,+0.1765]","mean=+0.3229,ci95=[+0.1440,+0.5144]","mean=+0.0185,ci95=[-0.0434,+0.0847]","mean=+0.0399,ci95=[-0.0650,+0.1448]","mean=-0.0657,ci95=[-0.2312,+0.1010]","mean=+0.0564,ci95=[-0.1224,+0.2231]","mean=-0.0381,ci95=[-0.1937,+0.1214]","mean=-0.0249,ci95=[-0.2068,+0.1546]","mean=-0.0104,ci95=[-0.1890,+0.1764]","mean=+0.0024,ci95=[-0.1444,+0.1466]","mean=+0.0706,ci95=[-0.0872,+0.2373]"
dinov3_vits16_ft-frozen_gap,"mean=-0.1595,ci95=[-0.3215,-0.0040]","mean=-0.1792,ci95=[-0.3479,+0.0010]","mean=-0.1921,ci95=[-0.3747,+0.0142]","mean=+0.2265,ci95=[+0.0486,+0.4170]","mean=-0.1663,ci95=[-0.3414,+0.0014]","mean=-0.1660,ci95=[-0.3483,+0.0145]","mean=-0.0960,ci95=[-0.2778,+0.0915]","mean=-0.0624,ci95=[-0.2343,+0.1166]","mean=-0.0200,ci95=[-0.1817,+0.1453]","mean=-0.1556,ci95=[-0.3378,+0.0337]","mean=-0.0918,ci95=[-0.2525,+0.0648]","mean=-0.1585,ci95=[-0.3029,-0.0090]","mean=+0.1454,ci95=[-0.0384,+0.3281]","mean=+0.0786,ci95=[-0.1217,+0.2719]","mean=-0.0918,ci95=[-0.2525,+0.0648]","mean=-0.1408,ci95=[-0.3082,+0.0264]","mean=+0.0251,ci95=[-0.1371,+0.1783]","mean=-0.1026,ci95=[-0.2773,+0.0769]","mean=-0.0311,ci95=[-0.2031,+0.1509]","mean=-0.0304,ci95=[-0.2025,+0.1486]","mean=-0.0421,ci95=[-0.1579,+0.0722]",,"mean=-0.0454,ci95=[-0.2275,+0.1393]","mean=+0.2808,ci95=[+0.0899,+0.4873]","mean=-0.0236,ci95=[-0.1331,+0.0899]","mean=-0.0022,ci95=[-0.0548,+0.0520]","mean=-0.1079,ci95=[-0.2576,+0.0585]","mean=+0.0143,ci95=[-0.1723,+0.1975]","mean=-0.0803,ci95=[-0.2291,+0.0690]","mean=-0.0670,ci95=[-0.2484,+0.1186]","mean=-0.0526,ci95=[-0.2302,+0.1327]","mean=-0.0398,ci95=[-0.1865,+0.1045]","mean=+0.0285,ci95=[-0.1337,+0.2001]"
dinov3_vits16_ft-full_cls,"mean=-0.1141,ci95=[-0.2910,+0.0565]","mean=-0.1338,ci95=[-0.3085,+0.0434]","mean=-0.1467,ci95=[-0.3264,+0.0206]","mean=+0.2719,ci95=[+0.1105,+0.4326]","mean=-0.1209,ci95=[-0.3032,+0.0632]","mean=-0.1206,ci95=[-0.2969,+0.0503]","mean=-0.0506,ci95=[-0.2612,+0.1550]","mean=-0.0170,ci95=[-0.1861,+0.1513]","mean=+0.0253,ci95=[-0.1345,+0.1967]","mean=-0.1102,ci95=[-0.2837,+0.0602]","mean=-0.0464,ci95=[-0.2252,+0.1286]","mean=-0.1131,ci95=[-0.2807,+0.0581]","mean=+0.1908,ci95=[+0.0037,+0.3713]","mean=+0.1240,ci95=[-0.0515,+0.3006]","mean=-0.0464,ci95=[-0.2252,+0.1286]","mean=-0.0954,ci95=[-0.2630,+0.0776]","mean=+0.0705,ci95=[-0.0974,+0.2484]","mean=-0.0572,ci95=[-0.2393,+0.1193]","mean=+0.0142,ci95=[-0.1601,+0.1921]","mean=+0.0150,ci95=[-0.1696,+0.1986]","mean=+0.0033,ci95=[-0.1765,+0.1932]","mean=+0.0454,ci95=[-0.1393,+0.2275]",,"mean=+0.3262,ci95=[+0.1455,+0.4903]","mean=+0.0217,ci95=[-0.1604,+0.2028]","mean=+0.0432,ci95=[-0.1353,+0.2160]","mean=-0.0625,ci95=[-0.2296,+0.1028]","mean=+0.0597,ci95=[-0.1062,+0.2201]","mean=-0.0349,ci95=[-0.2197,+0.1354]","mean=-0.0216,ci95=[-0.2256,+0.1655]","mean=-0.0072,ci95=[-0.2030,+0.1802]","mean=+0.0056,ci95=[-0.1801,+0.1770]","mean=+0.0739,ci95=[-0.1188,+0.2532]"
dinov3_vits16_ft-full_gap,"mean=-0.4403,ci95=[-0.6051,-0.2719]","mean=-0.4600,ci95=[-0.6153,-0.2791]","mean=-0.4728,ci95=[-0.6362,-0.3189]","mean=-0.0543,ci95=[-0.1723,+0.0782]","mean=-0.4470,ci95=[-0.6117,-0.2881]","mean=-0.4468,ci95=[-0.5918,-0.2766]","mean=-0.3768,ci95=[-0.5706,-0.1868]","mean=-0.3432,ci95=[-0.5118,-0.1568]","mean=-0.3008,ci95=[-0.4767,-0.1142]","mean=-0.4363,ci95=[-0.5939,-0.2664]","mean=-0.3726,ci95=[-0.5517,-0.2122]","mean=-0.4393,ci95=[-0.5910,-0.2706]","mean=-0.1354,ci95=[-0.2846,+0.0045]","mean=-0.2021,ci95=[-0.3441,-0.0532]","mean=-0.3726,ci95=[-0.5517,-0.2122]","mean=-0.4216,ci95=[-0.5741,-0.2740]","mean=-0.2556,ci95=[-0.4451,-0.0781]","mean=-0.3834,ci95=[-0.5464,-0.2191]","mean=-0.3119,ci95=[-0.5105,-0.1176]","mean=-0.3112,ci95=[-0.4986,-0.1313]","mean=-0.3229,ci95=[-0.5144,-0.1440]","mean=-0.2808,ci95=[-0.4873,-0.0899]","mean=-0.3262,ci95=[-0.4903,-0.1455]",,"mean=-0.3044,ci95=[-0.4888,-0.1257]","mean=-0.2830,ci95=[-0.4769,-0.1000]","mean=-0.3886,ci95=[-0.5682,-0.1982]","mean=-0.2665,ci95=[-0.4394,-0.0923]","mean=-0.3611,ci95=[-0.5301,-0.2044]","mean=-0.3478,ci95=[-0.5010,-0.2007]","mean=-0.3334,ci95=[-0.4863,-0.1865]","mean=-0.3206,ci95=[-0.4820,-0.1622]","mean=-0.2523,ci95=[-0.3949,-0.1133]"
dinov3_vits16_logreg_cls,"mean=-0.1359,ci95=[-0.3053,+0.0386]","mean=-0.1555,ci95=[-0.3430,+0.0291]","mean=-0.1684,ci95=[-0.3616,+0.0247]","mean=+0.2501,ci95=[+0.0776,+0.4355]","mean=-0.1426,ci95=[-0.3280,+0.0378]","mean=-0.1423,ci95=[-0.3308,+0.0389]","mean=-0.0724,ci95=[-0.2473,+0.0898]","mean=-0.0387,ci95=[-0.1989,+0.1141]","mean=+0.0036,ci95=[-0.1523,+0.1570]","mean=-0.1319,ci95=[-0.2904,+0.0350]","mean=-0.0682,ci95=[-0.2324,+0.0862]","mean=-0.1349,ci95=[-0.2874,+0.0264]","mean=+0.1691,ci95=[-0.0079,+0.3514]","mean=+0.1023,ci95=[-0.0676,+0.2791]","mean=-0.0682,ci95=[-0.2324,+0.0862]","mean=-0.1172,ci95=[-0.2910,+0.0613]","mean=+0.0488,ci95=[-0.1140,+0.2071]","mean=-0.0790,ci95=[-0.2531,+0.0979]","mean=-0.0075,ci95=[-0.1857,+0.1584]","mean=-0.0068,ci95=[-0.1711,+0.1489]","mean=-0.0185,ci95=[-0.0847,+0.0434]","mean=+0.0236,ci95=[-0.0899,+0.1331]","mean=-0.0217,ci95=[-0.2028,+0.1604]","mean=+0.3044,ci95=[+0.1257,+0.4888]",,"mean=+0.0214,ci95=[-0.0787,+0.1224]","mean=-0.0842,ci95=[-0.2469,+0.0807]","mean=+0.0379,ci95=[-0.1432,+0.2169]","mean=-0.0566,ci95=[-0.2099,+0.1076]","mean=-0.0434,ci95=[-0.2173,+0.1425]","mean=-0.0289,ci95=[-0.2037,+0.1572]","mean=-0.0161,ci95=[-0.1560,+0.1321]","mean=+0.0521,ci95=[-0.1069,+0.2125]"
